kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,TCE_ID,radius,radius_err1,radius_err2,teff,corrected_prad,corrected_prad_err1,corrected_prad_err2,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability,Disp
10811496,K00753.01,1,FALSE POSITIVE,0.0,19.89913995,187.4491,14.6,3.92,-1.31,0.15404600000000002,5.034292,-0.042179,010811496-01,1.23916527803,0.0555097705876,0.0512236512316,5646.95835844,20.891187034291328,682.7339532445969,-5.784991509240629,1271,10811496,19.899,0.93,0.9974988827585693,1.2038307407377993e-17,1.0,0.93,0.06999999999999995,FP
10854555,K00755.01,1,CANDIDATE,1.0,2.525591777,33.1919,2.75,0.88,-0.35,0.024064,0.003751,-0.001522,010854555-01,0.911018007275,0.030388970306700007,0.0280818379576,5653.33298187,2.3992650954001284,0.38245539751448876,-0.16881129356308397,1273,10854555,2.526,0.001,0.9974926942795953,0.00034911851644860766,0.9999991221463927,0.001,0.9989991230242463,PC
10872983,K00756.01,1,CANDIDATE,1.0,11.09432054,55.20486500000001,3.9,1.27,-0.42,0.036779,0.005115,-0.001065,010872983-01,1.11196445959,0.05309318000580001,0.0468487648818,5854.2824141,4.475837175274919,0.6581360803409366,-0.22881812077905733,1274,10872983,11.094,3.6e-05,0.9974988816110484,4.8114470293451935e-06,0.9999999879357694,3.6e-05,0.9999639879362037,PC
10872983,K00756.02,2,CANDIDATE,1.0,4.13443512,33.546658,2.77,0.9,-0.3,0.026133,0.001968,-0.002055,010872983-02,1.11196445959,0.05309318000580001,0.0468487648818,5854.2824141,3.1802673509736388,0.28357841482143004,-0.28371690599113303,1275,10872983,4.134,6.3e-06,0.9974935225644437,0.0003369393337968889,0.9999991530616793,6.3e-06,0.999992853067015,PC
10872983,K00756.03,3,CANDIDATE,0.992,2.56658897,12.325094,1.59,0.52,-0.17,0.014983000000000003,0.003935,-0.001417,010872983-03,1.11196445959,0.05309318000580001,0.0468487648818,5854.2824141,1.8233630168613644,0.4867212261417947,-0.18877997769038724,1276,10872983,2.567,7.8e-05,0.9771931976479066,0.02381974880560426,0.9994305034156193,7.8e-05,0.9993525478363529,PC
5456651,K00835.01,1,CANDIDATE,1.0,11.76307164,39.560696,2.35,0.17,-0.08,0.028519,0.001069,-0.000443,005456651-01,0.771656433012,0.0147911084819,0.0135628008332,4919.19255499,2.408472710947688,0.10139773350641751,-0.05649463554363952,973,5456651,11.763,4e-05,0.9974983798388849,0.00011792697546823061,0.9999997042167698,4e-05,0.999959704228601,PC
5456651,K00835.02,2,CANDIDATE,0.878,56.22792710000001,16.481398000000002,2.37,0.17,-0.09,0.028683,0.005581,-0.002562,005456651-02,0.771656433012,0.0147911084819,0.0135628008332,4919.19255499,2.4223227591469736,0.4736053843749118,-0.2205138782781961,1007,5456651,56.228,0.00072,0.9941072366150828,0.03435123933033895,0.9997891328197951,0.00072,0.9990692846441648,PC
7938496,K00900.01,1,CANDIDATE,1.0,13.81020318,40.226162,4.56,1.33,-0.88,0.036595,0.0001,-0.003401,007938496-01,1.1146044335299998,0.0494343519085,0.0452825742249,5630.76106645,4.464018372414991,0.19836123753705406,-0.4527768177144211,680,7938496,13.81,0.046,0.9974984973397253,0.00010791147245453898,0.9999997293530075,0.046,0.9539997418027691,PC
8013419,K00901.01,1,CANDIDATE,1.0,12.732624065,209.49731,4.87,0.97,-0.96,0.08251900000000001,0.000927,-0.001852,008013419-01,0.656153068228,0.010752487543,0.010939979698299998,4360.87774566,5.925739777453259,0.11773251347114133,-0.16567591609602947,681,8013419,12.733,0.06,0.9974988827585693,1.1502559624423565e-19,1.0,0.06,0.94,PC
8018547,K00902.01,1,CANDIDATE,0.966,83.92494032,121.1208,4.78,0.34,-0.47,0.086015,0.000594,-0.001349,008018547-01,0.674983387292,0.012158176255299998,0.011952318711000002,4562.56663809,6.354051542835373,0.12257587545603064,-0.15030044486363536,682,8018547,83.925,0.0052,0.9974988827585693,3.777320187468381e-11,0.9999999999999053,0.0052,0.9947999999999058,PC
8150320,K00904.01,1,CANDIDATE,1.0,2.211116989,32.73535,1.85,0.13,-0.05,0.026289,0.002509,-0.002111,008150320-01,0.670135044176,0.011121462792499998,0.0110619127911,4454.29529414,1.92805692308736,0.18677344310181537,-0.15805986526289942,684,8150320,2.211,0.0001,0.997491483435329,0.00038036341614538344,0.9999990430885808,0.0001,0.9998990431842719,PC
8150320,K00904.02,3,CANDIDATE,0.997,27.9541337,15.262756,1.9,0.13,-0.06,0.026973,0.001433,-0.0006940000000000001,008150320-03,0.670135044176,0.011121462792499998,0.0110619127911,4454.29529414,1.9782220467281129,0.11010581783206597,-0.06047293962546969,685,8150320,27.954,0.019,0.9914924111399935,0.023380805807489895,0.999794575935099,0.019,0.9807984789923321,PC
8150320,K00904.03,5,CANDIDATE,1.0,42.1406089,13.00283,1.85,0.13,-0.05,0.026274,0.001477,-0.000608,008150320-05,0.670135044176,0.011121462792499998,0.0110619127911,4454.29529414,1.9269568107268173,0.11294628340064804,-0.054773554300530776,719,8150320,42.141,0.00083,0.983846570701963,0.04972731544579337,0.9991408200622055,0.00083,0.9983115331815539,PC
8150320,K00904.04,2,CANDIDATE,1.0,4.617490562,18.39992,1.62,0.11,-0.05,0.023024,0.002805,-0.001614,008150320-02,0.670135044176,0.011121462792499998,0.0110619127911,4454.29529414,1.6885991326092045,0.20762096408205136,-0.1216095977815596,720,8150320,4.617,1.0,0.9955654316524813,0.007377581918807258,0.9999668936344983,1.0,0.0,PC
8150320,K00904.05,4,CANDIDATE,0.996,10.19849255,14.958939,1.75,0.11,-0.06,0.024778,0.005158,-0.002447,008150320-04,0.670135044176,0.011121462792499998,0.0110619127911,4454.29529414,1.8172389379686795,0.37949223687872957,-0.18195470232263328,721,8150320,10.198,1.0,0.9903087937629085,0.01671132510775513,0.9998336828434933,1.0,0.0,PC
6579806,K00967.01,1,FALSE POSITIVE,0.0,9.88047978,560.0515,23.6,7.06,-2.34,0.235723,0.202132,-0.030171,006579806-01,1.35757461804,0.06571532056780001,0.0614936382393,5904.03188955,35.022659744920496,30.079673560881872,-4.755106551419718,1742,6579806,9.88,0.98,0.9974988827585693,1.1156637734798754e-50,1.0,0.98,0.020000000000000018,FP
6307521,K01126.02,2,FALSE POSITIVE,0.0,475.91706,10.978225,28.22,3.96,-3.96,0.257403,74.69797,-2.64795,006307521-02,0.8761067044259999,0.0209047081843,0.0199191409853,5333.67129569,24.68050624578195,7162.246443763585,-253.89333506790834,1755,6307521,475.917,1.0,0.9909949265003251,0.9526624440040532,0.8171272298176152,1.0,0.0,FP
