kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,TCE_ID,radius,radius_err1,radius_err2,teff,corrected_prad,corrected_prad_err1,corrected_prad_err2,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability,Disp
10811496,K00753.01,1,FALSE POSITIVE,0.0,19.89913995,187.4491,14.6,3.92,-1.31,0.15404600000000002,5.034292,-0.042179,010811496-01,1.23916527803,0.055509770587599996,0.0512236512316,5646.95835844,20.891187034291328,682.7339532445969,-5.784991509240629,1271,10811496,19.899,0.93,0.9746982434274423,1.3655957757147643e-20,1.0,0.93,0.06999999999999995,PC
10854555,K00755.01,1,CANDIDATE,1.0,2.525591777,33.1919,2.75,0.88,-0.35,0.024064,0.003751,-0.001522,010854555-01,0.911018007275,0.030388970306700007,0.028081837957599998,5653.33298187,2.3992650954001284,0.38245539751448876,-0.16881129356308397,1273,10854555,2.526,0.001,0.9746982434261402,0.00011014007839545746,0.9999971406079403,0.001,0.9989971434673324,PC
5456651,K00835.01,1,CANDIDATE,1.0,11.76307164,39.560696,2.35,0.17,-0.08,0.028519,0.001069,-0.000443,005456651-01,0.771656433012,0.0147911084819,0.0135628008332,4919.19255499,2.408472710947688,0.10139773350641751,-0.05649463554363952,973,5456651,11.763,4e-05,0.9746982434274407,2.928141024693382e-05,0.9999992398746858,4e-05,0.9999592399050907,PC
5456651,K00835.02,2,CANDIDATE,0.878,56.22792710000001,16.481398000000002,2.37,0.17,-0.09,0.028683,0.005581,-0.002562,005456651-02,0.771656433012,0.0147911084819,0.0135628008332,4919.19255499,2.4223227591469736,0.4736053843749118,-0.2205138782781961,1007,5456651,56.228,0.00072,0.9746692127082747,0.019362477695160585,0.9994868505546946,0.00072,0.9987672200222951,PC
7938496,K00900.01,1,CANDIDATE,1.0,13.81020318,40.226162,4.56,1.33,-0.88,0.036595,0.0001,-0.003401,007938496-01,1.1146044335299998,0.0494343519085,0.0452825742249,5630.76106645,4.464018372414991,0.19836123753705406,-0.4527768177144211,680,7938496,13.81,0.046,0.9746982434274416,2.6109673036185554e-05,0.9999993222129568,0.046,0.9539993533911608,PC
8013419,K00901.01,1,CANDIDATE,1.0,12.732624065,209.49731,4.87,0.97,-0.96,0.08251900000000001,0.000927,-0.001852,008013419-01,0.656153068228,0.010752487542999999,0.010939979698299998,4360.87774566,5.925739777453259,0.11773251347114133,-0.16567591609602947,681,8013419,12.733,0.06,0.9746982434274423,5.883377870041045e-23,1.0,0.06,0.94,PC
8013419,K00901.01,1,CANDIDATE,1.0,12.732624065,209.49731,4.87,0.97,-0.96,0.08251900000000001,0.000927,-0.001852,008013419-01,0.656153068228,0.010752487542999999,0.010939979698299998,4360.87774566,5.925739777453259,0.11773251347114133,-0.16567591609602947,681,8013419,12.733,0.06,0.9746982434274423,5.883377870041045e-23,1.0,0.06,0.94,PC
8018547,K00902.01,1,CANDIDATE,0.966,83.92494032,121.1208,4.78,0.34,-0.47,0.086015,0.000594,-0.001349,008018547-01,0.674983387292,0.012158176255299998,0.011952318711000002,4562.56663809,6.354051542835373,0.12257587545603064,-0.15030044486363536,682,8018547,83.925,0.0052,0.9746982434274423,4.545332308250553e-13,0.9999999999999882,0.0052,0.9947999999999884,PC
8150320,K00904.01,1,CANDIDATE,1.0,2.211116989,32.73535,1.85,0.13,-0.05,0.026289,0.002509,-0.002111,008150320-01,0.670135044176,0.011121462792499998,0.0110619127911,4454.29529414,1.92805692308736,0.18677344310181537,-0.15805986526289942,684,8150320,2.211,0.0001,0.9746982434253327,0.00012204132663286475,0.9999968315970077,0.0001,0.999896831913848,PC
8150320,K00904.01,1,CANDIDATE,1.0,2.211116989,32.73535,1.85,0.13,-0.05,0.026289,0.002509,-0.002111,008150320-01,0.670135044176,0.011121462792499998,0.0110619127911,4454.29529414,1.92805692308736,0.18677344310181537,-0.15805986526289942,684,8150320,2.211,0.0001,0.9746982434253327,0.00012204132663286475,0.9999968315970077,0.0001,0.999896831913848,PC
