kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,radius,radius_err1,radius_err2,teff,corrected_prad,corrected_prad_err1,corrected_prad_err2,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability
10811496,K00753.01,1,FALSE POSITIVE,0.0,19.89913995,187.4491,14.6,3.92,-1.31,0.15404600000000002,5.034292,-0.042179,0.868,0.233,-0.078,5853,14.6,3.92,-1.31,1271,10811496,19.899,0.93,0.998563371015367,2.7925859623731063e-18,1.0,0.93,0.06999999999999995
10848459,K00754.01,1,FALSE POSITIVE,0.0,1.7369524530000002,541.8951,33.46,8.5,-2.83,0.387394,0.109232,-0.08495,0.7909999999999999,0.201,-0.067,5805,33.46,8.5,-2.83,1272,10848459,1.737,1.0,0.998563371015367,1.9157209943233643e-51,1.0,1.0,0.0
9579641,K00115.03,3,CANDIDATE,0.871,3.43591631,7.4337807,0.55,0.08,-0.07,0.004612,0.000197,-0.0005650000000000001,1.087,0.157,-0.142,5779,0.55,0.08,-0.07,103,9579641,3.436,0.04,0.7652020944044008,0.09781955285085525,0.9667301891754503,0.04,0.9280609816084322
9579641,K00115.01,1,CANDIDATE,1.0,5.412203927,163.47614,2.94,0.43,-0.38,0.024775,6e-05,-0.001886,1.087,0.157,-0.142,5779,2.94,0.43,-0.38,101,9579641,5.412,7.1e-06,0.998563371015367,3.421740798004754e-16,1.0,7.1e-06,0.9999929
9579641,K00115.02,2,CANDIDATE,1.0,7.12594387,39.793564,1.79,0.26,-0.23,0.015119999999999996,0.000323,-0.002193,1.087,0.157,-0.142,5779,1.79,0.26,-0.23,102,9579641,7.126,5.1e-05,0.9985386597286062,0.00011507775281207755,0.9999998315667525,5.1e-05,0.9999488315753426
5456651,K00835.01,1,CANDIDATE,1.0,11.76307164,39.560696,2.35,0.17,-0.08,0.028519,0.001069,-0.000443,0.7559999999999999,0.054000000000000006,-0.027000000000000003,4959,2.35,0.17,-0.08,973,5456651,11.763,4e-05,0.9985380392104004,0.00013437732413772657,0.9999998032315508,4e-05,0.9999598032394215
5456651,K00835.02,2,CANDIDATE,0.878,56.22792710000001,16.481398000000002,2.37,0.17,-0.09,0.028683,0.005581,-0.002562,0.7559999999999999,0.054000000000000006,-0.027000000000000003,4959,2.37,0.17,-0.09,1007,5456651,56.228,0.00072,0.985171317043655,0.04917377374231928,0.999221563471328,0.00072,0.9985021239456285
7938496,K00900.01,1,CANDIDATE,1.0,13.81020318,40.226162,4.56,1.33,-0.88,0.036595,0.0001,-0.003401,1.1420000000000001,0.33299999999999996,-0.222,5942,4.56,1.33,-0.88,680,7938496,13.81,0.046,0.9985428757222721,0.00012205790328969009,0.9999998218651902,0.046,0.9539998300593914
8013419,K00901.01,1,CANDIDATE,1.0,12.732624065,209.49731,4.87,0.97,-0.96,0.08251900000000001,0.000927,-0.001852,0.541,0.107,-0.107,3950,4.87,0.97,-0.96,681,8013419,12.733,0.06,0.998563371015367,2.1067461259446937e-20,1.0,0.06,0.94
8018547,K00902.01,1,CANDIDATE,0.966,83.92494032,121.1208,4.78,0.34,-0.47,0.086015,0.000594,-0.001349,0.509,0.036000000000000004,-0.05,3960,4.78,0.34,-0.47,682,8018547,83.925,0.0052,0.9985633710153663,1.7747435821075802e-11,0.9999999999999745,0.0052,0.9947999999999746
8039892,K00903.01,1,CANDIDATE,1.0,5.007316661,435.91187,6.96,1.75,-0.62,0.077106,0.001757,-0.00061,0.8270000000000001,0.20800000000000002,-0.07400000000000001,5865,6.96,1.75,-0.62,683,8039892,5.007,8.5e-09,0.998563371015367,1.5043739818367305e-41,1.0,8.5e-09,0.9999999915
8150320,K00904.01,1,CANDIDATE,1.0,2.211116989,32.73535,1.85,0.13,-0.05,0.026289,0.002509,-0.002111,0.6459999999999999,0.043,-0.02,4500,1.85,0.13,-0.05,684,8150320,2.211,0.0001,0.998363142993074,0.000466945357812764,0.9999992340664318,0.0001,0.9998992341430252
8150320,K00904.02,3,CANDIDATE,0.997,27.9541337,15.262756,1.9,0.13,-0.06,0.026973,0.001433,-0.0006940000000000001,0.6459999999999999,0.043,-0.02,4500,1.9,0.13,-0.06,685,8150320,27.954,0.019,0.9740952077909815,0.03416730101948917,0.9990592213012983,0.019,0.9800770960965737
8150320,K00904.03,5,CANDIDATE,1.0,42.1406089,13.00283,1.85,0.13,-0.05,0.026274,0.001477,-0.000608,0.6459999999999999,0.043,-0.02,4500,1.85,0.13,-0.05,719,8150320,42.141,0.00083,0.9579010056536323,0.07332936153393961,0.9965222080854799,0.00083,0.995695094652769
8150320,K00904.04,2,CANDIDATE,1.0,4.617490562,18.39992,1.62,0.11,-0.05,0.023024,0.002805,-0.001614,0.6459999999999999,0.043,-0.02,4500,1.62,0.11,-0.05,720,8150320,4.617,1.0,0.9861975944904408,0.010532641181329351,0.9998510204490186,1.0,0.0
8150320,K00904.05,4,CANDIDATE,0.996,10.19849255,14.958939,1.75,0.11,-0.06,0.024778,0.005158,-0.002447,0.6459999999999999,0.043,-0.02,4500,1.75,0.11,-0.06,721,8150320,10.198,1.0,0.9673096645751165,0.024624311040809796,0.9991468094992711,1.0,0.0
6037187,K01061.01,1,CANDIDATE,1.0,41.8059544,23.559824,2.02,0.61,-0.26,0.019015,0.000768,-0.000449,0.973,0.294,-0.126,5907,2.02,0.61,-0.26,1474,6037187,41.806,0.00045,0.9965773150740713,0.008122963814870102,0.9999718736997916,0.00045,0.9995218863566268
6307521,K01126.02,2,FALSE POSITIVE,0.0,475.91706,10.978225,28.22,3.96,-3.96,0.257403,74.69797,-2.64795,1.013,0.141,-0.141,5330,28.22,3.96,-3.96,1755,6307521,475.917,1.0,0.9971655999868831,0.9793895824782629,0.8649288666468944,1.0,0.0
6307521,K01126.01,1,FALSE POSITIVE,0.0,29.7452499,34.874846999999995,3.6,0.51,-0.5,0.03286,0.00047,-0.00064,1.013,0.141,-0.141,5330,3.6,0.51,-0.5,1754,6307521,29.745,1.0,0.9984798331900265,0.0005512120066856307,0.9999991603272254,1.0,0.0
6359320,K01127.01,1,CANDIDATE,1.0,5.32667299,27.617281,2.26,0.74,-0.23,0.022482,0.000824,-0.000368,0.9209999999999999,0.301,-0.094,5831,2.26,0.74,-0.23,1756,6359320,5.327,1e-06,0.9977054903292872,0.0014989334875012722,0.9999965475980004,1e-06,0.9999955476014527
6359320,K01127.02,2,CANDIDATE,1.0,8.1280933,10.879341,1.39,0.45,-0.14,0.013794999999999998,0.000717,-0.000922,0.9209999999999999,0.301,-0.094,5831,1.39,0.45,-0.14,1791,6359320,8.128,0.00018,0.9016232888481496,0.05455014499074912,0.9937045817574867,0.00018,0.9935257149327703
6359320,K01127.03,3,CANDIDATE,1.0,2.83668931,8.954725,1.19,0.39,-0.12,0.011852,0.000585,-0.000811,0.9209999999999999,0.301,-0.094,5831,1.19,0.39,-0.12,1792,6359320,2.837,6.1e-05,0.834028529887015,0.0717214067351214,0.9846247212697476,6.1e-05,0.9845646591617502
6362874,K01128.01,1,CANDIDATE,1.0,0.974868896,24.318182,1.16,0.12,-0.06,0.012716,0.000388,-0.000161,0.8320000000000001,0.09300000000000001,-0.04,5487,1.16,0.12,-0.06,1793,6362874,0.975,0.00027,0.9962419522395077,0.002750292345863936,0.9999895966691194,0.00027,0.9997195994780187
6272413,K01129.01,1,CANDIDATE,1.0,4.89721006,13.62336,1.48,0.18,-0.18,0.015988,0.00521,-0.001186,0.847,0.102,-0.102,5093,1.48,0.18,-0.18,1794,6272413,4.897,0.0028,0.9510324694796731,0.02893832802190137,0.9984655968531481,0.0028,0.9956698931819592
3660924,K01214.01,1,CANDIDATE,1.0,4.24153629,14.714512,1.44,0.39,-0.28,0.012577,0.000571,-0.000505,1.047,0.28300000000000003,-0.20600000000000002,5776,1.44,0.39,-0.28,1523,3660924,4.242,0.001,0.9632683255217411,0.022714650954365805,0.9991137053526474,0.001,0.9981145916472948
8030148,K00155.01,1,CANDIDATE,1.0,5.660669429,178.65833999999995,3.24,0.5,-0.54,0.02533,0.001361,-0.000558,1.173,0.17800000000000002,-0.198,5746,3.24,0.5,-0.54,333,8030148,5.661,3e-09,0.998563371015367,1.3299547626249461e-17,1.0,3e-09,0.999999997
10538176,K01301.01,1,CANDIDATE,1.0,12.69905011,25.154327,2.62,0.22,-0.17,0.027241,0.00624,-0.001791,0.843,0.055,-0.066,5291,2.62,0.22,-0.17,1356,10538176,12.699,0.00075,0.9969272825762147,0.0029986902842531597,0.9999907296736018,0.00075,0.9992407366263466
10538176,K01301.02,2,CANDIDATE,1.0,37.5142128,24.432262,2.68,0.22,-0.18,0.027815,0.0006490000000000001,-0.001083,0.843,0.055,-0.066,5291,2.68,0.22,-0.18,1357,10538176,37.514,0.00013,0.9969584800442932,0.006125570051352722,0.9999811969374022,0.00013,0.9998511993818003
10724369,K01302.01,1,CANDIDATE,1.0,55.6391882,38.47574,3.13,0.97,-0.32,0.029803,0.002837,-0.003148,0.9620000000000001,0.297,-0.099,5949,3.13,0.97,-0.32,1358,10724369,55.639,0.0012,0.9985402126240689,0.00045845564168748616,0.9999993294664443,0.0012,0.9987993302710846
10867062,K01303.01,1,CANDIDATE,0.998,34.2966363,38.67326,3.29,0.52,-0.57,0.025847,0.000156,-0.001957,1.146,0.2,-0.2,5489,3.29,0.52,-0.57,1359,10867062,34.297,0.053,0.9985367482801706,0.00027088822874418267,0.9999996029339226,0.053,0.9469996239784247
10744335,K01304.01,1,CANDIDATE,0.9840000000000001,4.59726613,14.917146,1.69,0.53,-0.17,0.016166999999999997,0.000745,-0.000763,0.9590000000000001,0.3,-0.1,5999,1.69,0.53,-0.17,1360,10744335,4.597,0.00016,0.9653210625123082,0.021943326676152463,0.9991940048126832,0.00016,0.9990341337719131
10730034,K01305.01,1,CANDIDATE,1.0,2.633852528,20.749485,1.38,0.07,-0.12,0.014432,0.0006349999999999999,-0.000588,0.8420000000000001,0.045,-0.067,5113,1.38,0.07,-0.12,1361,10730034,2.634,1.1e-05,0.9921537686088393,0.006113984899162621,0.9999513514492236,1.1e-05,0.9999403519843577
10730034,K01305.02,2,CANDIDATE,0.978,6.18670882,11.189779,1.21,0.06,-0.1,0.01265,0.000839,-0.0004730000000000001,0.8420000000000001,0.045,-0.067,5113,1.21,0.06,-0.1,1362,10730034,6.187,0.00028,0.9077569785785037,0.04912732875556402,0.9947499346614519,0.00028,0.9944714046797467
10973814,K01307.02,2,CANDIDATE,1.0,20.34237838,23.735342000000006,2.88,0.44,-0.36,0.024633,0.005401,-0.003071,1.071,0.163,-0.134,5514,2.88,0.44,-0.36,1401,10973814,20.342,0.11,0.996263749729847,0.004824490135809548,0.9999818191838981,0.11,0.8899838190736693
10973814,K01307.01,1,CANDIDATE,0.9990000000000001,44.8520997,27.30246,3.35,0.51,-0.42,0.028610000000000007,0.002579,-0.0033490000000000004,1.071,0.163,-0.134,5514,3.35,0.51,-0.42,1400,10973814,44.852,0.049,0.9979102899733723,0.003920135956363407,0.9999917585904976,0.049,0.9509921624195632
4275739,K01317.01,1,FALSE POSITIVE,0.0,2.171827838,1758.7235,58.56,16.17,-6.44,0.601913,2.25737,-0.240467,0.8909999999999999,0.24600000000000002,-0.098,5650,58.56,16.17,-6.44,1446,4275739,2.172,0.8,0.998563371015367,1.1179204444045515e-164,1.0,0.8,0.19999999999999996
4078157,K01319.01,1,FALSE POSITIVE,0.002,16.025018977000002,294.42953,1069.01,277.8,-92.14,12.407403,66.14389,-10.17077,0.789,0.205,-0.068,5776,1069.01,277.8,-92.14,1448,4078157,16.025,,0.998563371015367,2.832936619563588e-28,1.0,1.0,0.0
4164994,K01320.01,1,CANDIDATE,1.0,10.50682978,336.95108,9.01,1.2,-0.7,0.105491,0.003215,-0.001652,0.782,0.10400000000000001,-0.061,5127,9.01,1.2,-0.7,1449,4164994,10.507,0.0031,0.998563371015367,2.759470552724e-32,1.0,0.0031,0.9969
4372768,K01327.01,1,FALSE POSITIVE,0.0,15.640251500000002,14.437648,18.11,2.85,-2.32,0.200775,70.08412,-0.082123,0.826,0.13,-0.106,5346,18.11,2.85,-2.32,1490,4372768,15.64,1.0,0.9641015487482067,0.03094493934213278,0.9988109664367716,1.0,0.0
4072526,K01329.01,1,CANDIDATE,0.995,33.1996355,30.042027,2.85,0.15,-0.25,0.029607,0.001337,-0.000679,0.8170000000000001,0.04,-0.062,5103,2.85,0.15,-0.25,1492,4072526,33.2,0.00018,0.9982347620769068,0.0016772010283258218,0.9999970291228728,0.00018,0.9998170296576308
4150539,K01330.01,1,FALSE POSITIVE,0.0,8.65306587,33.64578,19.78,1.43,-1.74,0.261014,44.23445,-0.08348799999999999,0.6940000000000001,0.05,-0.061,4641,19.78,1.43,-1.74,1493,4150539,8.653,1.0,0.9984184640469798,0.0004446311558480069,0.9999992953726439,1.0,0.0
4150539,K01330.02,3,FALSE POSITIVE,0.0,94.219289,14.341499,2.15,0.15,-0.19,0.028332,0.001175,-0.000742,0.6940000000000001,0.05,-0.061,4641,2.15,0.15,-0.19,1494,4150539,94.219,0.49,0.9810844328811419,0.16181898898526811,0.9962777576352522,0.49,0.5081016563939786
4150624,K01334.02,3,FALSE POSITIVE,0.0,94.225938,15.880621,1.93,0.45,-0.14,0.020742,0.000794,-0.000728,0.852,0.198,-0.062,5421,1.93,0.45,-0.14,1534,4150624,94.226,0.064,0.9873077140983596,0.12203612323597751,0.9982131048449653,0.064,0.9343274661348875
4150624,K01334.01,1,FALSE POSITIVE,0.0,8.6531216,28.871054,22.58,5.25,-1.64,0.2427,36.03447,-0.627551,0.852,0.198,-0.062,5421,22.58,5.25,-1.64,1500,4150624,8.653,1.0,0.9979848591944874,0.0012359076335811104,0.9999975013551031,1.0,0.0
10271806,K00733.01,1,CANDIDATE,1.0,5.924993927,58.546432,3.15,0.21,-0.14,0.042444,0.003876,-0.00562,0.679,0.046,-0.028999999999999998,5016,3.15,0.21,-0.14,1139,10271806,5.925,6.2e-06,0.9985632624599874,2.0140428862712738e-06,0.9999999971021798,6.2e-06,0.9999937971021978
10271806,K00733.02,2,CANDIDATE,1.0,11.34934848,36.493874,2.39,0.17,-0.1,0.03229,0.000367,-0.001288,0.679,0.046,-0.028999999999999998,5016,2.39,0.17,-0.1,1140,10271806,11.349,2.8e-06,0.998501484651556,0.00025680038774126673,0.9999996145041589,2.8e-06,0.9999968145052383
10271806,K00733.03,3,CANDIDATE,1.0,3.13295351,20.515207,1.39,0.09,-0.06,0.018691,0.000842,-0.000492,0.679,0.046,-0.028999999999999998,5016,1.39,0.09,-0.06,1141,10271806,3.133,2.9e-05,0.9917374669703326,0.006499353762546567,0.9999454972381244,2.9e-05,0.9999164988187046
10271806,K00733.04,4,CANDIDATE,1.0,18.64349986,14.95795,2.14,0.14,-0.09,0.028845,0.005347,-0.003312,0.679,0.046,-0.028999999999999998,5016,2.14,0.14,-0.09,1142,10271806,18.643,0.0015,0.9695739302308299,0.029671043473793138,0.9990404253745012,0.0015,0.9975418647364395
10358759,K00738.02,2,CANDIDATE,1.0,13.28689997,28.055307,2.78,0.22,-0.13,0.029278,0.000786,-0.000482,0.87,0.067,-0.042,5730,2.78,0.22,-0.13,1183,10358759,13.287,0.00045,0.9978611711288454,0.0016344140825513148,0.9999964910400809,0.00045,0.999546492619113
10358759,K00738.01,1,CANDIDATE,1.0,10.3392408,38.329365,2.98,0.23,-0.15,0.031329,0.0008029999999999999,-0.000429,0.87,0.067,-0.042,5730,2.98,0.23,-0.15,1182,10358759,10.339,0.00072,0.9985266888164255,0.00016938484682537663,0.9999997500328532,0.00072,0.9992797502128296
10395381,K00740.01,1,CANDIDATE,1.0,17.671771399999994,30.951159000000004,2.44,0.27,-0.17,0.032562,0.001883,-0.005142,0.687,0.075,-0.048,4869,2.44,0.27,-0.17,1185,10395381,17.672,8.7e-06,0.998272074703796,0.0009713057322283392,0.9999983171165883,8.7e-06,0.9999896171312294
10418797,K00741.01,1,FALSE POSITIVE,0.0,23.355341391,1094.4517,21.55,5.8,-1.93,0.218013,0.003888,-0.000592,0.905,0.244,-0.081,5754,21.55,5.8,-1.93,1186,10418797,23.355,0.94,0.998563371015367,1.1865094520537084e-102,1.0,0.94,0.06000000000000005
10419211,K00742.01,1,FALSE POSITIVE,0.0,11.521446064000001,628.3708,150.51,39.76,-13.31,1.625358,2.847129,-0.663339,0.848,0.22399999999999998,-0.075,5795,150.51,39.76,-13.31,1187,10419211,11.521,,0.998563371015367,2.144189051048927e-59,1.0,1.0,0.0
10601284,K00749.01,1,CANDIDATE,1.0,5.349553819,48.504196,2.55,0.16,-0.24,0.025706,0.0008449999999999999,-0.000453,0.899,0.057,-0.086,5190,2.55,0.16,-0.24,1229,10601284,5.35,1.2e-05,0.9985613626292581,1.709724356279762e-05,0.9999999753674086,1.2e-05,0.9999879753677041
10601284,K00749.02,2,CANDIDATE,0.98,3.94105221,22.749151,1.7,0.11,-0.16,0.017105000000000002,0.0007030000000000001,-0.000557,0.899,0.057,-0.086,5190,1.7,0.11,-0.16,1230,10601284,3.941,2.6e-06,0.9950072741776275,0.004111520172827951,0.9999792841299359,2.6e-06,0.9999766841837971
10601284,K00749.03,3,CANDIDATE,0.971,8.10904807,9.776852,1.3,0.09,-0.12,0.013127000000000002,0.0008699999999999999,-0.000503,0.899,0.057,-0.086,5190,1.3,0.09,-0.12,1231,10601284,8.109,0.0014,0.8697875638643086,0.06804923731178032,0.9890687566090753,0.0014,0.9876840603498227
10662202,K00750.01,1,CANDIDATE,1.0,21.67699193,24.54073,2.95,0.12,-0.23,0.032666,2.1e-05,-0.005743,0.784,0.032,-0.054000000000000006,4954,2.95,0.12,-0.23,1232,10662202,21.677,4.4e-05,0.9967641356372533,0.004187267136488224,0.9999863494264507,4.4e-05,0.9999423500270759
10662202,K00750.02,2,CANDIDATE,0.915,5.04413987,8.172602000000001,1.18,0.04,-0.1,0.012998,4e-06,-0.001851,0.784,0.032,-0.054000000000000006,4954,1.18,0.04,-0.1,1266,10662202,5.044,0.42,0.8036568737229218,0.08760180871225622,0.9765429336855227,0.42,0.5663949015376032
10662202,K00750.03,3,CANDIDATE,0.929,14.516741,7.5396094,1.45,0.06,-0.11,0.016064,0.003089,-0.002879,0.784,0.032,-0.054000000000000006,4954,1.45,0.06,-0.11,1267,10662202,14.517,0.0095,0.7881092340752424,0.1198722564621561,0.9633816657835552,0.0095,0.9542295399586115
10910878,K00757.01,1,CANDIDATE,1.0,16.06864674,137.44981,5.76,0.22,-0.49,0.062161,0.000913,-0.0004280000000000001,0.836,0.033,-0.066,5028,5.76,0.22,-0.49,1310,10910878,16.069,2.4e-05,0.998563371015367,1.1513811873743283e-13,0.9999999999999999,2.4e-05,0.9999759999999999
