kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,radius,radius_err1,radius_err2,teff,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability
10811496,K00753.01,1,FALSE POSITIVE,0.0,19.89913995,187.4491,14.6,3.92,-1.31,0.15404600000000002,5.034292,-0.042179,0.868,0.233,-0.078,5853,1271,10811496,19.899,0.93,0.9987726529282833,2.222622439074894e-18,1.0,0.93,0.06999999999999995
10848459,K00754.01,1,FALSE POSITIVE,0.0,1.7369524530000002,541.8951,33.46,8.5,-2.83,0.387394,0.109232,-0.08495,0.7909999999999999,0.201,-0.067,5805,1272,10848459,1.737,1.0,0.9987726529282833,9.401067772191421e-52,1.0,1.0,0.0
9579641,K00115.03,3,CANDIDATE,0.871,3.43591631,7.4337807,0.55,0.08,-0.07,0.004612,0.000197,-0.0005650000000000001,1.087,0.157,-0.142,5779,103,9579641,3.436,0.04,0.7749569976723016,0.09902020063428339,0.9680848671137764,0.04,0.9293614724292253
9579641,K00115.01,1,CANDIDATE,1.0,5.412203927,163.47614,2.94,0.43,-0.38,0.024775,6e-05,-0.001886,1.087,0.157,-0.142,5779,101,9579641,5.412,7.1e-06,0.9987726529282833,2.8072327875104347e-16,1.0,7.1e-06,0.9999929
9579641,K00115.02,2,CANDIDATE,1.0,7.12594387,39.793564,1.79,0.26,-0.23,0.015119999999999996,0.000323,-0.002193,1.087,0.157,-0.142,5779,102,9579641,7.126,5.1e-05,0.9987604677459329,0.00011168741176652203,0.9999998613725538,5.1e-05,0.9999488613796238
5456651,K00835.01,1,CANDIDATE,1.0,11.76307164,39.560696,2.35,0.17,-0.08,0.028519,0.001069,-0.000443,0.7559999999999999,0.054000000000000006,-0.027000000000000003,4959,973,5456651,11.763,4e-05,0.9987601038725886,0.00013055117742519006,0.9999998379079884,4e-05,0.9999598379144721
5456651,K00835.02,2,CANDIDATE,0.878,56.22792710000001,16.481398000000002,2.37,0.17,-0.09,0.028683,0.005581,-0.002562,0.7559999999999999,0.054000000000000006,-0.027000000000000003,4959,1007,5456651,56.228,0.00072,0.9881824231028772,0.0496054230954706,0.9993758104107842,0.00072,0.9986562598272883
7938496,K00900.01,1,CANDIDATE,1.0,13.81020318,40.226162,4.56,1.33,-0.88,0.036595,0.0001,-0.003401,1.142,0.333,-0.222,5942,680,7938496,13.81,0.046,0.9987626355521813,0.00011851217556013482,0.9999998531581694,0.046,0.9539998599128936
8013419,K00901.01,1,CANDIDATE,1.0,12.732624065,209.49731,4.87,0.97,-0.96,0.08251900000000001,0.000927,-0.001852,0.541,0.107,-0.107,3950,681,8013419,12.733,0.06,0.9987726529282833,1.6255899234401294e-20,1.0,0.06,0.94
8018547,K00902.01,1,CANDIDATE,0.966,83.92494032,121.1208,4.78,0.34,-0.47,0.086015,0.000594,-0.001349,0.509,0.036000000000000004,-0.05,3960,682,8018547,83.925,0.0052,0.9987726529282833,1.5605475981511984e-11,0.9999999999999808,0.0052,0.9947999999999809
8039892,K00903.01,1,CANDIDATE,1.0,5.007316661,435.91187,6.96,1.75,-0.62,0.077106,0.001757,-0.00061,0.8270000000000001,0.208,-0.07400000000000001,5865,683,8039892,5.007,8.5e-09,0.9987726529282833,8.5281612299851e-42,1.0,8.5e-09,0.9999999915
8150320,K00904.01,1,CANDIDATE,1.0,2.211116989,32.73535,1.85,0.13,-0.05,0.026289,0.002509,-0.002111,0.6459999999999999,0.043,-0.02,4500,684,8150320,2.211,0.0001,0.9986587952093,0.0004572118216738495,0.9999993856808894,0.0001,0.9998993857423213
8150320,K00904.02,3,CANDIDATE,0.997,27.9541337,15.262756,1.9,0.13,-0.06,0.026973,0.001433,-0.0006940000000000001,0.6459999999999999,0.043,-0.02,4500,685,8150320,27.954,0.019,0.9788961287288529,0.03438433657650856,0.9992323171023852,0.019,0.9802469030774399
8150320,K00904.03,5,CANDIDATE,1.0,42.1406089,13.00283,1.85,0.13,-0.05,0.026274,0.001477,-0.000608,0.6459999999999999,0.043,-0.02,4500,719,8150320,42.141,0.00083,0.9641530081186913,0.07413562594847377,0.9970229485359949,0.00083,0.99619541948871
8150320,K00904.04,2,CANDIDATE,1.0,4.617490562,18.39992,1.62,0.11,-0.05,0.023024,0.002805,-0.001614,0.6459999999999999,0.043,-0.02,4500,720,8150320,4.617,1.0,0.9893561197621501,0.01051959763896207,0.9998856228510528,1.0,0.0
8150320,K00904.05,4,CANDIDATE,0.996,10.19849255,14.958939,1.75,0.11,-0.06,0.024778,0.005158,-0.002447,0.6459999999999999,0.043,-0.02,4500,721,8150320,10.198,1.0,0.9731913797900105,0.024727180724232068,0.9993015670962963,1.0,0.0
6037187,K01061.01,1,CANDIDATE,1.0,41.8059544,23.559824,2.02,0.61,-0.26,0.019015,0.000768,-0.000449,0.973,0.294,-0.126,5907,1474,6037187,41.806,0.00045,0.9974137887045105,0.008101794143602452,0.9999788211323796,0.00045,0.99952883066287
6307521,K01126.02,2,FALSE POSITIVE,0.0,475.91706,10.978225,28.22,3.96,-3.96,0.257403,74.69797,-2.64795,1.013,0.141,-0.141,5330,1755,6307521,475.917,1.0,0.9975490096626249,0.9805474775598315,0.8761488455432943,1.0,0.0
6307521,K01126.01,1,FALSE POSITIVE,0.0,29.7452499,34.874846999999995,3.6,0.51,-0.5,0.03286,0.00047,-0.00064,1.013,0.141,-0.141,5330,1754,6307521,29.745,1.0,0.9987271785800291,0.000540403881136545,0.9999993109133694,1.0,0.0
6359320,K01127.01,1,CANDIDATE,1.0,5.32667299,27.617281,2.26,0.74,-0.23,0.022482,0.000824,-0.000368,0.921,0.301,-0.094,5831,1756,6359320,5.327,1e-06,0.9982316727772101,0.0014786278911792735,0.9999973767914662,1e-06,0.9999963767940894
6359320,K01127.02,2,CANDIDATE,1.0,8.1280933,10.879341,1.39,0.45,-0.14,0.013794999999999998,0.000717,-0.000922,0.921,0.301,-0.094,5831,1791,6359320,8.128,0.00018,0.9121399123616076,0.0550434774091627,0.994389207491169,0.00018,0.9942102174338207
6359320,K01127.03,3,CANDIDATE,1.0,2.83668931,8.954725,1.19,0.39,-0.12,0.011852,0.000585,-0.000811,0.921,0.301,-0.094,5831,1792,6359320,2.837,6.1e-05,0.845569985748385,0.0724808892351859,0.9857280669804933,6.1e-05,0.9856679375684075
6362874,K01128.01,1,CANDIDATE,1.0,0.974868896,24.318182,1.16,0.12,-0.06,0.012716,0.000388,-0.000161,0.8320000000000001,0.093,-0.04,5487,1793,6362874,0.975,0.00027,0.9972072289746724,0.002723433642997264,0.9999923519433572,0.00027,0.9997223540083325
6272413,K01129.01,1,CANDIDATE,1.0,4.89721006,13.62336,1.48,0.18,-0.18,0.015988,0.00521,-0.001186,0.847,0.102,-0.102,5093,1794,6272413,4.897,0.0028,0.9587229866348727,0.029087319239022535,0.9987101516577542,0.0028,0.9959137632331125
3660924,K01214.01,1,CANDIDATE,1.0,4.24153629,14.714512,1.44,0.39,-0.28,0.012577,0.000571,-0.000505,1.047,0.28300000000000003,-0.206,5776,1523,3660924,4.242,0.001,0.9697201731684454,0.022797001262722258,0.9992715497628414,0.001,0.9982722782130785
8030148,K00155.01,1,CANDIDATE,1.0,5.660669429,178.65833999999995,3.24,0.5,-0.54,0.02533,0.001361,-0.000558,1.173,0.17800000000000002,-0.198,5746,333,8030148,5.661,3e-09,0.9987726529282833,1.0689070334428226e-17,1.0,3e-09,0.999999997
10538176,K01301.01,1,CANDIDATE,1.0,12.69905011,25.154327,2.62,0.22,-0.17,0.027241,0.00624,-0.001791,0.843,0.055,-0.066,5291,1356,10538176,12.699,0.00075,0.9976882516676686,0.0029713055330522447,0.9999930946555144,0.00075,0.9992430998345228
10538176,K01301.02,2,CANDIDATE,1.0,37.5142128,24.432262,2.68,0.22,-0.18,0.027815,0.0006490000000000001,-0.001083,0.843,0.055,-0.066,5291,1357,10538176,37.514,0.00013,0.9976937749004349,0.006098442513978659,0.9999858166116217,0.00013,0.9998558184554622
10724369,K01302.01,1,CANDIDATE,1.0,55.6391882,38.47574,3.13,0.97,-0.32,0.029803,0.002837,-0.003148,0.962,0.297,-0.099,5949,1358,10724369,55.639,0.0012,0.9987609348799976,0.0004490302830664191,0.9999994426817421,0.0012,0.9987994433505241
10867062,K01303.01,1,CANDIDATE,0.998,34.2966363,38.67326,3.29,0.52,-0.57,0.025847,0.000156,-0.001957,1.146,0.2,-0.2,5489,1359,10867062,34.297,0.053,0.9987592309348818,0.00026439239713201023,0.9999996714556881,0.053,0.9469996888685366
10744335,K01304.01,1,CANDIDATE,0.9840000000000001,4.59726613,14.917146,1.69,0.53,-0.17,0.016166999999999997,0.000745,-0.000763,0.959,0.3,-0.1,5999,1360,10744335,4.597,0.00016,0.9715288495764913,0.022018165259563145,0.9993402192302974,0.00016,0.9991803247952205
10730034,K01305.01,1,CANDIDATE,1.0,2.633852528,20.749485,1.38,0.07,-0.12,0.014432,0.0006349999999999999,-0.000588,0.8420000000000001,0.045,-0.067,5113,1361,10730034,2.634,1.1e-05,0.9941231869821392,0.006085221172438723,0.9999638066411374,1.1e-05,0.9999528070392644
10730034,K01305.02,2,CANDIDATE,0.978,6.18670882,11.189779,1.21,0.06,-0.1,0.01265,0.000839,-0.0004730000000000001,0.8420000000000001,0.045,-0.067,5113,1362,10730034,6.187,0.00028,0.9181432698461404,0.04954027999752602,0.995353042744683,0.00028,0.9950743438927145
10973814,K01307.02,2,CANDIDATE,1.0,20.34237838,23.735342000000006,2.88,0.44,-0.36,0.024633,0.005401,-0.003071,1.071,0.163,-0.134,5514,1401,10973814,20.342,0.11,0.9972041095180388,0.004795202076004616,0.9999864907714688,0.11,0.8899879767866072
