kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,radius,radius_err1,radius_err2,teff,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability
9579641,K00115.03,3,CANDIDATE,0.871,3.43591631,7.4337807,0.55,0.08,-0.07,0.004612,0.000197,-0.0005650000000000001,1.087,0.157,-0.142,5779,103,9579641,3.436,0.04,0.7710339968866962,0.09937764920612815,0.9672324874852959,0.04,0.928543187985884
9579641,K00115.01,1,CANDIDATE,1.0,5.412203927,163.47614,2.94,0.43,-0.38,0.024775,6e-05,-0.001886,1.087,0.157,-0.142,5779,101,9579641,5.412,7.1e-06,0.9987168513824418,3.6836902382488024e-16,1.0,7.1e-06,0.9999929
9579641,K00115.02,2,CANDIDATE,1.0,7.12594387,39.793564,1.79,0.26,-0.23,0.015119999999999996,0.000323,-0.002193,1.087,0.157,-0.142,5779,102,9579641,7.126,5.1e-05,0.9986994516692426,0.00011848747363585405,0.9999998456823554,5.1e-05,0.9999488456902256
5456651,K00835.01,1,CANDIDATE,1.0,11.76307164,39.560696,2.35,0.17,-0.08,0.028519,0.001069,-0.000443,0.7559999999999999,0.054000000000000006,-0.027000000000000003,4959,973,5456651,11.763,4e-05,0.9986989830292775,0.00013836140612047873,0.9999998197300183,4e-05,0.999959819737229
5456651,K00835.02,2,CANDIDATE,0.878,56.22792710000001,16.481398000000002,2.37,0.17,-0.09,0.028683,0.005581,-0.002562,0.7559999999999999,0.054000000000000006,-0.027000000000000003,4959,1007,5456651,56.228,0.00072,0.9869022804853955,0.05020872794373306,0.9992984274675583,0.00072,0.9985789325997816
7938496,K00900.01,1,CANDIDATE,1.0,13.81020318,40.226162,4.56,1.33,-0.88,0.036595,0.0001,-0.003401,1.142,0.333,-0.222,5942,680,7938496,13.81,0.046,0.9987024921796559,0.00012571263901763795,0.9999998366544176,0.046,0.9539998441683144
8013419,K00901.01,1,CANDIDATE,1.0,12.732624065,209.49731,4.87,0.97,-0.96,0.08251900000000001,0.000927,-0.001852,0.541,0.107,-0.107,3950,681,8013419,12.733,0.06,0.9987168513824418,2.306354370325154e-20,1.0,0.06,0.94
8018547,K00902.01,1,CANDIDATE,0.966,83.92494032,121.1208,4.78,0.34,-0.47,0.086015,0.000594,-0.001349,0.509,0.036000000000000004,-0.05,3960,682,8018547,83.925,0.0052,0.9987168513824416,1.8849242668133585e-11,0.9999999999999758,0.0052,0.9947999999999759
8039892,K00903.01,1,CANDIDATE,1.0,5.007316661,435.91187,6.96,1.75,-0.62,0.077106,0.001757,-0.00061,0.8270000000000001,0.208,-0.07400000000000001,5865,683,8039892,5.007,8.5e-09,0.9987168513824418,1.7867103456950275e-41,1.0,8.5e-09,0.9999999915
8150320,K00904.01,1,CANDIDATE,1.0,2.211116989,32.73535,1.85,0.13,-0.05,0.026289,0.002509,-0.002111,0.6459999999999999,0.043,-0.02,4500,684,8150320,2.211,0.0001,0.998565641222456,0.0004795021447410236,0.999999310903529,0.0001,0.9998993109724387
8150320,K00904.02,3,CANDIDATE,0.997,27.9541337,15.262756,1.9,0.13,-0.06,0.026973,0.001433,-0.0006940000000000001,0.6459999999999999,0.043,-0.02,4500,685,8150320,27.954,0.019,0.9767800717565059,0.03486179343551946,0.9991413339347396,0.019,0.9801576485899796
8150320,K00904.03,5,CANDIDATE,1.0,42.1406089,13.00283,1.85,0.13,-0.05,0.026274,0.001477,-0.000608,0.6459999999999999,0.043,-0.02,4500,719,8150320,42.141,0.00083,0.9614645312145413,0.07472571377929701,0.9967631173260171,0.00083,0.9959358039386365
