kepid,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2
10811496,K00753.01,1,FALSE POSITIVE,0.0,19.89913995,187.4491,14.6,3.92,-1.31,0.15404600000000002,5.034292,-0.042179
10848459,K00754.01,1,FALSE POSITIVE,0.0,1.7369524530000002,541.8951,33.46,8.5,-2.83,0.387394,0.109232,-0.08495
10854555,K00755.01,1,CANDIDATE,1.0,2.525591777,33.1919,2.75,0.88,-0.35,0.024064,0.003751,-0.0015220000000000001
10872983,K00756.01,1,CANDIDATE,1.0,11.09432054,55.204865000000005,3.9,1.27,-0.42,0.036779,0.005115,-0.001065
10872983,K00756.02,2,CANDIDATE,1.0,4.13443512,33.546658,2.77,0.9,-0.3,0.026133,0.001968,-0.002055
9579641,K00115.03,3,CANDIDATE,0.871,3.43591631,7.4337807,0.55,0.08,-0.07,0.004612,0.000197,-0.0005650000000000001
10872983,K00756.03,3,CANDIDATE,0.992,2.56658897,12.325094,1.59,0.52,-0.17,0.014983000000000002,0.003935,-0.001417
5436502,K00834.01,1,CANDIDATE,0.999,23.65369415,188.42673,7.89,1.38,-1.52,0.05219,0.000266,-9.8e-05
5436502,K00834.02,2,CANDIDATE,0.996,13.23352214,34.323593,3.06,0.54,-0.58,0.020278,0.000566,-0.000269
5436502,K00834.03,3,CANDIDATE,0.997,6.15560285,26.274458000000003,2.32,0.4,-0.45,0.015336,0.00045,-0.000362
5436502,K00834.04,5,CANDIDATE,1.0,2.090811305,14.88052,1.62,0.28,-0.32,0.010686,0.0021850000000000003,-0.0009660000000000001
5436502,K00834.05,4,CANDIDATE,0.989,50.446741700000004,15.157461999999999,2.67,0.47,-0.51,0.017669999999999998,0.0006219999999999999,-0.0008529999999999999
9471974,K00119.01,1,CANDIDATE,0.959,49.18394185,250.00006000000002,8.2,0.5,-0.55,0.036501,0.000754,-0.000244
5456651,K00835.01,1,CANDIDATE,1.0,11.76307164,39.560696,2.35,0.17,-0.08,0.028519,0.0010689999999999999,-0.000443
7907423,K00899.03,3,CANDIDATE,0.998,15.36845737,24.263742,1.11,0.12,-0.16,0.02471,0.000906,-0.0006
7938496,K00900.01,1,CANDIDATE,1.0,13.81020318,40.226162,4.56,1.33,-0.88,0.036594999999999996,0.0001,-0.003401
8013419,K00901.01,1,CANDIDATE,1.0,12.732624065,209.49731,4.87,0.97,-0.96,0.08251900000000001,0.000927,-0.001852
8018547,K00902.01,1,CANDIDATE,0.966,83.92494032,121.1208,4.78,0.34,-0.47,0.086015,0.000594,-0.001349
8039892,K00903.01,1,CANDIDATE,1.0,5.007316661,435.91187,6.96,1.75,-0.62,0.077106,0.001757,-0.00061
5897826,K00126.01,1,FALSE POSITIVE,0.0,33.80364366,1177.5599,20.7,3.24,-4.86,0.10553900000000001,0.00022999999999999998,-9.1e-05
8150320,K00904.01,1,CANDIDATE,1.0,2.211116989,32.73535,1.85,0.13,-0.05,0.026289,0.002509,-0.002111
8561063,K00961.02,3,FALSE POSITIVE,0.0,0.453287416,10.459189,0.76,0.19,-0.09,0.046729,0.000277,-0.00587
8561063,K00961.03,2,CANDIDATE,1.0,1.8651141930000001,33.096786,0.66,0.17,-0.08,0.040715,0.00022,-0.004542
10657664,K00964.01,1,FALSE POSITIVE,0.0,3.273699006,5358.328,22.36,7.31,-7.3,0.08215,0.000731,-0.00025299999999999997
3337351,K00965.01,1,FALSE POSITIVE,0.0,7.047103498999999,1292.6384,51.86,15.23,-6.52,0.458805,0.06297699999999999,-0.062612
3233043,K00966.01,1,FALSE POSITIVE,0.0,0.379463865,37.243491999999996,59.56,34.57,-38.05,0.305894,0.621931,-0.060703
6579806,K00967.01,1,FALSE POSITIVE,0.0,9.88047978,560.0515,23.6,7.06,-2.34,0.235723,0.202132,-0.030170999999999996
3560301,K00968.01,1,FALSE POSITIVE,0.0,4.6484156,13.385618,5.06,0.52,-2.1,0.013299,0.000305,-0.000884
5880320,K01060.02,2,CANDIDATE,0.758,4.75796103,16.059935,1.7,0.27,-0.39,0.010702,0.0020469999999999998,-0.000458
5880320,K01060.03,3,CANDIDATE,1.0,20.4972755,10.584614,2.96,0.46,-0.69,0.018577,8.9e-05,-0.004021
5880320,K01060.04,4,CANDIDATE,0.884,8.19345065,9.742977,1.74,0.27,-0.4,0.010952,0.001407,-0.001158
6037187,K01061.01,1,CANDIDATE,1.0,41.8059544,23.559824,2.02,0.61,-0.26,0.019015,0.000768,-0.000449
6147122,K01062.01,1,FALSE POSITIVE,0.0,15.45158184,19.1527,2.02,0.49,-0.41,0.008928,0.001588,-0.000377
8257407,K01063.01,1,FALSE POSITIVE,0.0,89.69816853299999,6984.414000000001,102.08,26.76,-40.11,0.590496,0.013534000000000001,-0.014958
4649305,K00143.01,1,CANDIDATE,0.983,22.65117451,182.14682,7.62,2.93,-0.98,0.052355,0.00031299999999999996,-0.000424
6307521,K01126.02,2,FALSE POSITIVE,0.0,475.91705999999994,10.978225,28.22,3.96,-3.96,0.257403,74.69797,-2.64795
6359320,K01127.01,1,CANDIDATE,1.0,5.32667299,27.617281,2.26,0.74,-0.23,0.022482,0.000824,-0.000368
6359320,K01127.02,2,CANDIDATE,1.0,8.1280933,10.879341,1.39,0.45,-0.14,0.013794999999999998,0.000717,-0.0009220000000000001
3835670,K00149.01,1,CANDIDATE,1.0,14.55730897,170.09213,4.32,0.71,-0.86,0.028038,0.000359,-0.000124
6359320,K01127.03,3,CANDIDATE,1.0,2.83668931,8.954725,1.19,0.39,-0.12,0.011852,0.000585,-0.000811
6362874,K01128.01,1,CANDIDATE,1.0,0.9748688959999999,24.318182,1.16,0.12,-0.06,0.012716,0.000388,-0.000161
6272413,K01129.01,1,CANDIDATE,1.0,4.89721006,13.62336,1.48,0.18,-0.18,0.015988,0.00521,-0.001186
3556220,K01213.01,1,FALSE POSITIVE,0.0,0.796722833,19.094875,1.44,0.22,-0.35,0.009909999999999999,2.8999999999999997e-05,-0.000541
3660924,K01214.01,1,CANDIDATE,1.0,4.24153629,14.714512,1.44,0.39,-0.28,0.012577,0.000571,-0.000505
8030148,K00155.01,1,CANDIDATE,1.0,5.6606694289999995,178.65833999999998,3.24,0.5,-0.54,0.025330000000000002,0.001361,-0.000558
3939150,K01215.01,1,CANDIDATE,1.0,17.32419108,37.068684000000005,3.14,0.45,-0.76,0.0155,0.001117,-0.001176
3939150,K01215.02,2,CANDIDATE,0.999,33.0063185,29.759809999999998,3.13,0.45,-0.76,0.015447999999999998,0.00023700000000000001,-0.000496
3839488,K01216.01,1,CANDIDATE,1.0,11.13127159,29.527637,2.06,0.35,-0.39,0.013138,0.000462,-0.00026000000000000003
3542588,K01217.01,1,FALSE POSITIVE,0.0,3.47143963,23.218267,1.19,0.38,-0.15,0.009818,0.001251,-0.0006389999999999999
10676923,K01297.01,1,FALSE POSITIVE,0.0,1.031096352,16.354301,2.36,0.8,-0.27,0.020135,0.150505,-0.0030489999999999996
10604335,K01298.01,1,CANDIDATE,1.0,11.00817635,35.173687,2.15,0.1,-0.11,0.033902999999999996,0.00131,-0.000624
10604335,K01298.02,2,FALSE POSITIVE,0.0,92.7495777,10.743563,1.87,0.08,-0.1,0.029388,0.001663,-0.000892
10864656,K01299.01,1,CANDIDATE,0.981,52.5008645,57.70616,12.41,0.61,-1.53,0.027341000000000004,0.000552,-0.00024700000000000004
10555375,K00158.01,1,FALSE POSITIVE,0.0,5.80181368,28.802832000000002,4.52,0.97,-2.28,0.019721000000000002,0.00216,-0.004782
10975146,K01300.01,1,CANDIDATE,1.0,0.63133171,17.120070000000002,1.2,0.09,-0.1,0.020758000000000002,0.00151,-0.0017579999999999998
10538176,K01301.01,1,CANDIDATE,1.0,12.69905011,25.154327,2.62,0.22,-0.17,0.027241,0.00624,-0.001791
10724369,K01302.01,1,CANDIDATE,1.0,55.6391882,38.47574,3.13,0.97,-0.32,0.029802999999999996,0.002837,-0.003148
10867062,K01303.01,1,CANDIDATE,0.998,34.296636299999996,38.67326,3.29,0.52,-0.57,0.025847000000000002,0.000156,-0.001957
10744335,K01304.01,1,CANDIDATE,0.984,4.59726613,14.917145999999999,1.69,0.53,-0.17,0.016166999999999997,0.000745,-0.000763
10730034,K01305.01,1,CANDIDATE,1.0,2.6338525280000002,20.749485,1.38,0.07,-0.12,0.014431999999999999,0.0006349999999999999,-0.000588
10730034,K01305.02,2,CANDIDATE,0.978,6.18670882,11.189779,1.21,0.06,-0.1,0.01265,0.000839,-0.00047300000000000006
10973814,K01307.02,2,CANDIDATE,1.0,20.34237838,23.735342000000003,2.88,0.44,-0.36,0.024633000000000002,0.0054009999999999996,-0.003071
10586208,K01308.01,1,CANDIDATE,1.0,23.58444746,38.17304,3.0,0.47,-0.7,0.020294,0.002227,-0.001497
10854768,K01309.01,1,CANDIDATE,1.0,10.1171684,36.0002,3.07,0.56,-0.67,0.015702,0.000323,-0.000371
10964440,K01310.01,1,CANDIDATE,1.0,19.12947603,27.225363,4.23,0.62,-1.06,0.022649000000000002,0.0019649999999999997,-0.0033350000000000003
10964440,K01310.02,2,CANDIDATE,0.913,144.68891499999998,8.049244,3.33,0.48,-0.83,0.017821,0.001605,-0.000775
4275739,K01317.01,1,FALSE POSITIVE,0.0,2.171827838,1758.7235,58.56,16.17,-6.44,0.601913,2.25737,-0.24046700000000001
4070376,K01318.01,1,FALSE POSITIVE,0.0,1.634614356,826.91174,44.22,14.41,-4.79,0.417475,0.057685,-0.046782
4078157,K01319.01,1,FALSE POSITIVE,0.002,16.025018977000002,294.42953,1069.01,277.8,-92.14,12.407403,66.14389,-10.17077
4164994,K01320.01,1,CANDIDATE,1.0,10.50682978,336.95108,9.01,1.2,-0.7,0.105491,0.003215,-0.001652
4480676,K01321.01,1,FALSE POSITIVE,0.0,0.711966971,469.62744000000004,33.34,6.95,-4.66,0.367816,0.5741970000000001,-0.061238
