kepid, skygroup
757280, 84
891916, 84
892195, 84
892667, 84
892678, 84
892713, 84
892772, 84
892882, 84
892911, 84
892977, 84
893165, 84
893209, 84
893305, 84
893383, 84
893559, 84
893647, 84
1025494, 84
1025578, 84
1026294, 84
1026328, 84
1026400, 84
1026474, 84
1026504, 84
1026838, 84
1027277, 84
1027330, 84
1027631, 84
1027740, 84
1027877, 84
1027948, 84
1028085, 84
1028201, 84
1028640, 84
1160891, 84
1161092, 84
1161137, 84
1161338, 84
1161908, 84
1162181, 84
1162467, 84
1162725, 84
1163090, 84
1163244, 84
1163248, 84
1163286, 84
1163333, 84
1163576, 84
1163579, 84
1164407, 84
1292666, 84
1292688, 84
1292798, 84
1293261, 84
1293563, 84
1293587, 84
1293907, 84
1293946, 84
1293993, 84
1294088, 84
1294385, 84
1294648, 84
1294869, 84
1294953, 84
1294997, 84
1295069, 84
1295289, 84
1295448, 84
1295531, 84
1295546, 84
1295597, 84
1295961, 84
1295980, 84
1296002, 84
1296063, 84
1296262, 84
1296281, 84
1296491, 84
1296721, 84
1296779, 84
1296817, 84
1297347, 84
1429337, 84
1429375, 84
1429475, 84
1429567, 84
1429589, 84
1429893, 84
1430118, 84
1430163, 84
1430219, 84
1430227, 84
1430333, 84
1430349, 84
1430444, 84
1430590, 84
1430670, 84
1430741, 84
1430810, 84
1430880, 84
1430985, 84
1431060, 84
1431116, 84
1431122, 84
1431567, 84
1431705, 84
1432060, 84
1432149, 84
1432184, 84
1432248, 84
1432551, 84
1432685, 84
1432700, 84
1432735, 84
1432745, 84
1432825, 84
1432934, 84
1433040, 84
1433498, 84
1433531, 84
1433622, 84
1433628, 84
1433803, 84
1434277, 84
1434455, 84
1434708, 84
1434792, 84
1434976, 84
1435108, 84
1435158, 84
1435229, 84
1435260, 84
1435448, 84
1435467, 84
1435836, 84
1435930, 84
1569682, 84
1569792, 84
1569849, 84
1569897, 84
1569986, 84
1570023, 84
1570172, 84
1570270, 84
1570275, 84
1570366, 84
1570711, 84
1570915, 84
1571511, 84
1571732, 84
1572156, 84
1572220, 84
1572418, 84
1572558, 84
1572685, 84
1572895, 84
1572910, 84
1572999, 84
1573013, 84
1573094, 84
1573666, 84
1574033, 84
1574376, 84
1574944, 84
1575206, 84
1575422, 84
1575424, 84
1575580, 84
1576071, 84
1576108, 84
1576141, 84
1576144, 84
1576249, 84
1576558, 84
1576607, 84
1576782, 84
1576789, 84
1576796, 84
1576877, 84
1577073, 84
1577202, 84
1577215, 84
1577912, 84
1701692, 71
1717106, 84
1717285, 84
1717316, 84
1717465, 84
1717797, 84
1717867, 84
1717990, 84
1718071, 84
1718456, 84
1718537, 84
1718670, 84
1718740, 84
1718761, 84
1718828, 84
1718831, 84
1718943, 84
1718958, 84
1719026, 84
1719124, 84
1719166, 84
1719371, 84
1719557, 84
1719927, 84
1719974, 84
1720810, 84
1720964, 84
1721157, 84
1721439, 84
1721795, 84
1721825, 84
1722241, 84
1722276, 84
1722816, 84
1722916, 84
1723529, 84
1723671, 84
1723752, 84
1723845, 84
1723919, 84
1723978, 84
1723993, 84
1724041, 84
1724171, 84
1724304, 84
1724316, 84
1724355, 84
1724411, 84
1724615, 84
1724679, 84
1724719, 84
1724720, 84
1724872, 84
1725017, 84
1725153, 84
1725190, 84
1725310, 84
1849159, 71
1849334, 71
1849398, 71
1849415, 71
1849471, 71
1849474, 71
1849500, 71
1849513, 71
1849581, 71
1849689, 71
1849698, 71
1849702, 71
1849714, 71
1849785, 71
1849846, 71
1863995, 84
1864041, 84
1864087, 84
1864124, 84
1864178, 84
1864220, 84
1864855, 84
1864891, 84
1864894, 84
1864987, 84
1865087, 84
1865159, 84
1865188, 84
1865231, 84
1865273, 84
1865305, 84
1865590, 84
1865698, 84
1865925, 84
1866174, 84
1866234, 84
