kepid, skygroup
892667, 84
893209, 84
1026133, 84
1026294, 84
1026957, 84
1160891, 84
1161345, 84
1162150, 84
1162339, 84
1162345, 84
1292087, 84
1294670, 84
1296164, 84
1296779, 84
1297510, 84
1429653, 84
1430590, 84
1430741, 84
1431794, 84
1432149, 84
1433399, 84
1433962, 84
1433980, 84
1434372, 84
1434660, 84
1434800, 84
1570349, 84
1571152, 84
1571717, 84
1572114, 84
1573174, 84
1573836, 84
1574792, 84
1575888, 84
1575977, 84
1576115, 84
1576144, 84
1576704, 84
1577039, 84
1577912, 84
1718290, 84
1718594, 84
1719308, 84
1720673, 84
1721361, 84
1724222, 84
1724961, 84
1724968, 84
1725907, 83
1726231, 83
1849235, 71
1863905, 84
1865567, 84
1866366, 84
1868404, 84
1869607, 84
1870849, 84
1871056, 84
1872262, 83
1872948, 83
1873030, 83
1873918, 83
1995038, 71
1995431, 71
1995519, 71
1996728, 71
2010414, 84
2010607, 84
2011214, 84
2011424, 84
2012722, 84
2012821, 84
2015135, 84
2015501, 84
2017224, 84
2018261, 83
2018685, 83
2018827, 83
2019297, 83
2019477, 83
2021099, 83
2021100, 83
2140389, 71
2140782, 71
2140841, 71
2141387, 71
2141852, 71
2141938, 71
2142451, 71
2142913, 71
2156343, 84
2156514, 84
2156906, 84
2157247, 84
2157489, 84
2158190, 84
2158208, 84
2159852, 84
2161623, 84
2162904, 83
2163457, 83
2164165, 83
2164604, 83
2164772, 83
2165002, 83
2165352, 83
2165983, 83
2166218, 83
2167600, 83
2167890, 83
2167920, 83
2168321, 83
2168333, 83
2168417, 83
2168420, 83
2282763, 71
2283124, 71
2283308, 71
2285586, 71
2297728, 81
2297739, 81
2300165, 84
2300529, 84
2300603, 84
2302548, 84
2302624, 84
2303365, 84
2303599, 84
2304168, 84
2304235, 84
2304566, 84
2305372, 83
2305819, 83
2305949, 83
2306740, 83
2306756, 83
2307199, 83
2307533, 83
2307624, 83
2308957, 83
2308968, 83
2309579, 83
2309585, 83
2309587, 83
2309910, 83
2310968, 83
2421693, 71
2422539, 71
2424932, 71
2425057, 71
2436421, 81
2436450, 81
2437060, 81
2437112, 81
2437209, 81
2437452, 81
2437783, 81
2438061, 81
2438062, 81
2438070, 81
2438114, 81
2438151, 81
2438249, 81
2438264, 81
2438490, 81
2438502, 81
2439211, 81
2439469, 81
2439660, 81
2440757, 4
2441151, 84
2441495, 84
2442118, 84
2443309, 84
2443393, 84
2444412, 84
2445298, 84
2445982, 83
2446113, 83
2447697, 83
2447832, 83
2447893, 83
2448113, 83
2449090, 83
2449384, 83
2449407, 83
2449639, 83
2449818, 83
2450666, 83
2450944, 83
2452440, 83
2452450, 83
2554068, 71
2554853, 71
2554867, 71
2556127, 71
2556639, 71
2557302, 71
2557335, 71
2557430, 71
2558370, 71
2568519, 81
2568971, 81
2569488, 81
2569494, 81
2570281, 81
2571008, 81
2571238, 81
2571417, 81
2571868, 81
2573108, 81
2574960, 84
2575161, 84
2575964, 84
2576197, 84
2576224, 84
2576692, 84
2577109, 84
2577786, 83
2578077, 83
2578404, 83
2578891, 83
2578901, 83
2579041, 83
2579814, 83
2580613, 83
2581316, 83
2581452, 83
2581457, 83
2581554, 83
2581626, 83
2581674, 83
2581905, 83
2581964, 83
2582539, 83
2582575, 83
2582800, 83
2583153, 83
2583777, 83
2584115, 83
2584879, 83
2585092, 83
2692377, 71
2693092, 71
2694186, 71
2694337, 71
2694746, 71
2695030, 71
2695110, 71
2695411, 71
2695733, 71
2696703, 71
2696941, 71
2696944, 71
2697935, 70
2698074, 70
2706788, 81
2707097, 81
2707479, 81
2708156, 81
2710406, 81
2711114, 81
2711123, 81
2712821, 84
2712958, 84
2713662, 84
2714085, 84
2714707, 83
2714807, 83
