# Description of IPAC file format: http://exoplanetarchive.ipac.caltech.edu/docs/ddgen/ipac_tbl.html
# Astropy Python tool to read IPAC format: http://docs.astropy.org/en/stable/api/astropy.io.ascii.Ipac.html
# IDL tool to read IPAC format: https://irsa.ipac.caltech.edu/tools/pro/read_ipac_table.pro
# The accompanying documentation for this file is: KSCI-19114
# Column Definitions
# TCE_ID
# The Threshold Crossing Event (TCE) identifier, consisting of the Kepler Input Catalog (KIC) ID, followed by a dash, and then the planet number
# KIC
# The KIC ID of the TCE.
# Disp
# The Robovetter Disposition Value (PC or FP)
# Score
# The Robovetter Disposition Score
# NTL
# The Robovetter Not Transit-Like Flag
# SS
# The Robovetter Stellar Eclipse Flag
# CO
# The Robovetter Centroid Offset Flag
# EM
# The Robovetter Ephemeris Match Flag
# period
# The period of the TCE in days from DV
# epoch
# The epoch of the TCE in Barycentric Kepler Julian Date (BKJD)
# Expected_MES
# The expected value for the Multiple Event Statistic (MES) based on the injection parameters. (Note this value only exists for INJ1, INJ2, and INJ3, and is "null" for OBS, INV, and SCR1.)
# MES
# The Multiple Event Statistic (MES) of the TCE
# NTran
# The number of transits identified by TPS with SES != 0 (i.e., those used in calculating the MES.)
# depth
# The depth of the TCE in parts per million (ppm)
# duration
# The duration of the TCE in hours (hrs)
# Rp
# The modeled radius of the planet in units of Earth radii (R_earth)
# Rs
# The assumed size of the target star in solar radii (R_sun)
# Ts
# The assumed temperatue of the target star in Kelvin (K)
# logg
# The assumed surface gravity of the star in cm/s**2 (cgs)
# a
# The modeled semi-major axis of the orbit in Astronomical Units (AU)
# Rp/Rs
# The modeled ratio of the planet radius to stellar radius
# a/Rs
# The modeled ratio of the semi-major axis to the stellar radius
# impact
# The modeled impact parameter
# SNR_DV
# The modeled Signal-to-Noise Ratio (SNR) of the signal
# Sp
# The modeled insolation flux of the planet in units of Earth's insolation flux (S_earth)
# Fit_Prov
# A flag indicating if the fit information comes from supplemental fits (1) or original fits (0)
TCE_ID KIC Disp Score NTL SS CO EM period epoch Expected_MES MES NTran depth duration Rp Rs Ts logg a Rp/Rs a/Rs impact SNR_DV Sp Fit_Prov skygroup
000892667-01 892667 FP 0.0 1 0 0 0 2.26180947 131.74016724 "" 7.911 580 22.5 7.5096 0.821 1.654 6609 4.105 0.03653 0.004546 2.02 0.5889 7.2 3503.367 1 84
000892667-02 892667 FP 0.0 1 0 0 0 155.73335596 275.32133767 "" 10.0871 3 134.2 4.0288 2.04 1.654 6609 4.105 0.6137 0.011305 222.13 0.6759 3.7 12.416 1 84
000892667-03 892667 FP 0.0 1 0 1 0 114.54273462 205.27220685 "" 9.6127 3 61.4 16.7629 1.338 1.654 6609 4.105 0.50009 0.007413 45.93 0.4908 2.9 18.699 1 84
000892667-04 892667 FP 0.0 1 0 0 0 144.39712727 216.83978856 "" 8.9984 3 62.0 11.8078 1.47 1.654 6609 4.105 0.5836 0.008146 50.67 0.8499 2.4 13.73 1 84
000892667-05 892667 FP 0.0 1 0 0 0 84.14204727 163.30538043 "" 7.59 6 168.3 2.9783 2.507 1.654 6609 4.105 0.40712 0.013891 99.88 0.9021 5.5 28.213 1 84
000893209-01 893209 FP 0.0 1 0 0 0 424.74515836 163.56280211 "" 9.1062 4 304.8 5.2935 1.599 0.91 6248 4.371 0.9866 0.016102 622.35 0.0407 9.0 1.162 1 84
001026133-01 1026133 FP 0.0 1 0 0 0 1.34627457 131.885522 "" 10.225 978 25.8 5.136 0.848 1.615 7001 4.15 0.02633 0.004813 1.9 0.4853 10.6 8095.122 1 84
001026294-01 1026294 FP 0.0 1 0 0 0 0.77967619 132.29740375 "" 8.5039 1691 9.6 2.9492 0.796 2.496 7892 3.921 0.02052 0.002923 1.98 0.3988 9.2 51432.17 1 84
001026957-01 1026957 FP 0.0 1 0 0 0 21.76120549 145.06875107 "" 29.9742 61 93.8 12.5349 0.77 0.72 4859 4.612 0.14008 0.009805 8.63 0.7751 9.1 13.195 0 84
001160891-01 1160891 FP 0.0 1 0 0 0 0.9404847 131.8846458 "" 12.1769 1400 64.4 3.3223 1.325 1.6 6842 4.17 0.02093 0.007588 2.05 0.4722 12.4 11478.975 1 84
001160891-02 1160891 FP 0.0 1 0 0 0 0.94044639 132.1876239 "" 13.5525 1399 30.5 3.0996 0.915 1.6 6842 4.17 0.02093 0.005243 2.15 0.4985 6.1 11479.321 1 84
001161345-01 1161345 FP 0.0 1 0 0 0 4.28736748 133.33303568 "" 44.0797 269 75.7 5.2474 1.019 0.815 5296 4.576 0.05011 0.01146 1.79 0.983 18.2 186.439 0 84
001161345-02 1161345 FP 0.0 1 0 0 0 4.28874933 133.43545622 "" 20.5305 17 92.8 6.7437 0.873 0.815 5296 4.576 0.05011 0.009817 3.16 0.1 21.0 186.438 1 84
