# Description of IPAC file format: http://exoplanetarchive.ipac.caltech.edu/docs/ddgen/ipac_tbl.html
# Astropy Python tool to read IPAC format: http://docs.astropy.org/en/stable/api/astropy.io.ascii.Ipac.html
# IDL tool to read IPAC format: https://irsa.ipac.caltech.edu/tools/pro/read_ipac_table.pro
# The accompanying documentation for this file is: KSCI-19114
# Column Definitions
# TCE_ID
# The Threshold Crossing Event (TCE) identifier, consisting of the Kepler Input Catalog (KIC) ID, followed by a dash, and then the planet number
# KIC
# The KIC ID of the TCE.
# Disp
# The Robovetter Disposition Value (PC or FP)
# Score
# The Robovetter Disposition Score
# NTL
# The Robovetter Not Transit-Like Flag
# SS
# The Robovetter Stellar Eclipse Flag
# CO
# The Robovetter Centroid Offset Flag
# EM
# The Robovetter Ephemeris Match Flag
# period
# The period of the TCE in days from DV
# epoch
# The epoch of the TCE in Barycentric Kepler Julian Date (BKJD)
# Expected_MES
# The expected value for the Multiple Event Statistic (MES) based on the injection parameters. (Note this value only exists for INJ1, INJ2, and INJ3, and is "null" for OBS, INV, and SCR1.)
# MES
# The Multiple Event Statistic (MES) of the TCE
# NTran
# The number of transits identified by TPS with SES != 0 (i.e., those used in calculating the MES.)
# depth
# The depth of the TCE in parts per million (ppm)
# duration
# The duration of the TCE in hours (hrs)
# Rp
# The modeled radius of the planet in units of Earth radii (R_earth)
# Rs
# The assumed size of the target star in solar radii (R_sun)
# Ts
# The assumed temperatue of the target star in Kelvin (K)
# logg
# The assumed surface gravity of the star in cm/s**2 (cgs)
# a
# The modeled semi-major axis of the orbit in Astronomical Units (AU)
# Rp/Rs
# The modeled ratio of the planet radius to stellar radius
# a/Rs
# The modeled ratio of the semi-major axis to the stellar radius
# impact
# The modeled impact parameter
# SNR_DV
# The modeled Signal-to-Noise Ratio (SNR) of the signal
# Sp
# The modeled insolation flux of the planet in units of Earth's insolation flux (S_earth)
# Fit_Prov
# A flag indicating if the fit information comes from supplemental fits (1) or original fits (0)
TCE_ID KIC Disp Score NTL SS CO EM period epoch Expected_MES MES NTran depth duration Rp Rs Ts logg a Rp/Rs a/Rs impact SNR_DV Sp Fit_Prov skygroup
000757099-01 757099 FP 0.0 1 0 0 0 0.72536513 131.54994352 "" 8.8329 1799 18.2 1.4992 0.901 2.109 5519 3.822 0.0162 0.003915 3.6 0.3002 1.0 14092.033 1 84
000892376-01 892376 FP 0.0 1 0 0 0 317.57999689 197.4403907 "" 11.8052 3 858.2 17.6845 1.756 0.605 3973 4.656 0.77055 0.026592 130.1 0.3934 6.8 0.138 1 84
000892376-02 892376 FP 0.0 1 0 0 0 1.53230056 132.12351704 "" 11.5327 836 127.5 5.1716 0.699 0.605 3973 4.656 0.022 0.010595 2.04 0.5673 14.8 168.809 1 84
000892376-03 892376 FP 0.0 1 0 0 0 193.6843663 202.68693406 "" 14.8353 3 347.9 4.6265 1.245 0.605 3973 4.656 0.55411 0.018854 211.87 0.7741 2.6 0.266 1 84
000892376-04 892376 FP 0.0 1 0 0 0 432.87053961 504.17145838 "" 11.374 3 2081.7 6.0606 2.8 0.605 3973 4.656 0.94719 0.042417 490.69 0.5272 11.4 0.091 1 84
000892376-05 892376 FP 0.0 1 0 0 0 267.09331156 208.27387841 "" 10.3088 4 853.6 8.0902 1.707 0.605 3973 4.656 0.68648 0.025861 258.7 0.0118 6.7 0.173 1 84
000892376-06 892376 FP 0.0 1 0 0 0 1.53163247 132.15124537 "" 10.4546 368 113.4 4.9309 0.785 0.605 3973 4.656 0.02199 0.011889 1.44 0.9019 10.3 168.916 1 84
000893004-01 893004 FP 0.0 1 0 0 0 399.72228481 334.41195144 "" 7.2402 4 270.9 8.6398 1.65 0.943 6146 4.497 1.06875 0.016036 267.33 0.6784 6.7 0.995 1 84
000893507-02 893507 FP 0.0 1 0 0 0 504.62963995 493.11819706 "" 15.4348 3 877.6 5.0675 9.875 1.684 5382 3.917 1.17735 0.05374 253.24 0.9998 10.5 1.538 1 84
000893507-03 893507 FP 0.0 1 0 0 0 308.54694597 161.0074368 "" 12.1902 3 555.3 16.2941 4.561 1.684 5382 3.917 0.84815 0.024822 81.82 0.8546 6.6 2.964 1 84
