kepid, skygroup
757099, 84
757450, 84
892376, 84
892667, 84
892772, 84
893507, 84
893647, 84
1025986, 84
1026032, 84
1026133, 84
1026474, 84
1026957, 84
1028018, 84
1028246, 84
1160891, 84
1161345, 84
1162150, 84
1162339, 84
1162345, 84
1292087, 84
1293031, 84
1293046, 84
1294670, 84
1294756, 84
1294869, 84
1296164, 84
1296721, 84
1297272, 84
1429120, 84
1429653, 84
1430590, 84
1431114, 84
1431122, 84
1431501, 84
1431794, 84
1432091, 84
1432149, 84
1432214, 84
1432789, 84
1433399, 84
1433899, 84
1433962, 84
1433980, 84
1434395, 84
1434660, 84
1434800, 84
1434976, 84
1435448, 84
1570349, 84
1570924, 84
1571152, 84
1571511, 84
1571717, 84
1572114, 84
1572201, 84
1572948, 84
1573094, 84
1573138, 84
1573174, 84
1574792, 84
1575690, 84
1575873, 84
1575977, 84
1576115, 84
1576144, 84
1577039, 84
1577912, 84
1717528, 84
1717722, 84
1718189, 84
1718594, 84
1718958, 84
1719308, 84
1720673, 84
1721157, 84
1721614, 84
1722276, 84
1722506, 84
1722916, 84
1723078, 84
1724222, 84
1724513, 84
1724719, 84
1724842, 84
1724961, 84
1724968, 84
1725016, 84
1725193, 83
1726231, 83
1849235, 71
1849555, 71
1849702, 71
1865042, 84
1865567, 84
1865864, 84
1866252, 84
1868404, 84
1868524, 84
1869607, 84
1870398, 84
1870849, 84
1871056, 84
1872192, 83
1872262, 83
1872340, 83
1872821, 83
1872885, 83
1872948, 83
1873513, 83
1873543, 83
1995323, 71
1995431, 71
1995519, 71
1995712, 71
1995732, 71
1996180, 71
1996399, 71
1996679, 71
2010152, 84
2010191, 84
2010414, 84
2010607, 84
2011424, 84
2012722, 84
2013754, 84
2013883, 84
2014991, 84
2016979, 84
2017224, 84
2017692, 83
2017803, 83
2018261, 83
2018642, 83
2018685, 83
2018906, 83
2019076, 83
2019297, 83
2019477, 83
2020437, 83
2021100, 83
2021440, 83
2140360, 71
2140389, 71
2140782, 71
2141387, 71
2141783, 71
2141938, 71
2142183, 71
2142522, 71
2142730, 71
2156089, 84
2156514, 84
2156906, 84
2156998, 84
2157247, 84
2157489, 84
2158190, 84
2158208, 84
2159486, 84
2159700, 84
2159852, 84
2161536, 84
2161623, 84
2161949, 84
2162268, 84
2162635, 84
2162904, 83
2162994, 83
2163457, 83
2164165, 83
2164169, 83
2164791, 83
2165002, 83
2165352, 83
2166200, 83
2166206, 83
2166218, 83
2167444, 83
2167600, 83
2167890, 83
2168333, 83
2168420, 83
2282763, 71
2283124, 71
2283308, 71
2283703, 71
2284957, 71
2285420, 71
2285548, 71
2285586, 71
2297349, 81
2297728, 81
2297739, 81
2299738, 84
2300319, 84
2300529, 84
2300603, 84
2301068, 84
2301306, 84
2301577, 84
2302010, 84
2302548, 84
2302624, 84
2302758, 84
