# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Nov 13 20:52:21 2017
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN fpp_koi_period: KOI Transit Period [days]
# COLUMN fpp_prob:       Probability to be Any of the Considered Astrophysical False Positive Scenarios
#
rowid,kepid,kepoi_name,fpp_koi_period,fpp_prob
1,6508221,K00416.03,9.748,9.50000e-01
2,6879865,K00417.01,19.193,8.60000e-01
3,7975727,K00418.01,22.418,1.40000e-02
4,8219673,K00419.01,20.131,9.90000e-01
5,8352537,K00420.01,6.010,5.70000e-08
6,9115800,K00421.01,4.454,3.80000e-04
7,9214713,K00422.01,809.014,3.80000e-01
8,9478990,K00423.01,21.087,3.90000e-04
9,9597411,K00424.01,1.576,7.90000e-01
10,9967884,K00425.01,5.428,8.40000e-01
11,10016874,K00426.01,16.301,6.20000e-05
12,6462863,K00094.02,10.424,4.90000e-09
13,6462863,K00094.03,54.320,6.50000e-06
14,6462863,K00094.04,3.743,5.80000e-05
15,5780885,K00097.01,4.885,1.40000e-03
16,10264660,K00098.01,6.790,3.20000e-05
17,4055765,K00100.01,9.966,6.20000e-01
18,8456679,K00102.01,1.735,9.90000e-05
19,8456679,K00102.02,4.068,2.70000e-03
20,2444412,K00103.01,14.911,7.90000e-05
21,10318874,K00104.01,2.508,1.40000e-03
22,8711794,K00105.01,8.981,1.30000e-02
23,5959753,K00226.01,8.309,7.80000e-07
24,3847907,K00229.01,3.573,2.90000e-04
25,3862246,K00230.01,4.702,1.00000e+00
26,4043443,K00231.01,119.840,9.80000e-01
27,4833421,K00232.01,12.466,8.70000e-05
28,4833421,K00232.02,5.766,1.00000e+00
29,4833421,K00232.03,21.588,1.00000e-02
30,4833421,K00232.04,37.996,3.60000e-03
31,4833421,K00232.05,56.259,6.10000e-01
32,5023956,K00233.01,1.825,3.80000e-03
33,8491277,K00234.01,9.614,1.60000e-05
34,11200415,K00293.01,4.640,1.30000e-01
35,11259686,K00294.01,34.436,8.40000e-03
36,11547513,K00295.01,5.317,2.30000e-08
37,11547513,K00295.02,10.106,1.60000e-03
38,11802615,K00296.01,28.862,9.30000e-05
39,11905011,K00297.01,5.652,2.50000e-06
40,12785320,K00298.01,19.964,1.70000e-04
41,12785320,K00298.02,57.384,1.30000e-02
42,2692377,K00299.01,1.542,3.90000e-06
43,3438975,K00300.01,2.976,1.00000e+00
44,3642289,K00301.01,6.003,5.00000e-06
45,10189546,K00427.01,24.615,2.20000e-02
46,10189546,K00427.02,42.950,2.60000e-04
47,10189546,K00427.03,117.034,1.80000e-03
48,10418224,K00428.01,6.873,5.10000e-07
49,10616679,K00429.01,8.600,2.10000e-05
50,10717241,K00430.01,12.376,6.40000e-04
51,10717241,K00430.02,9.341,1.20000e-01
52,10843590,K00431.01,18.870,6.90000e-06
53,10843590,K00431.02,46.903,1.00000e-03
