kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,KIC,KOI,koi_disposition,gaia_iso_prad,gaia_iso_prad_errp,gaia_iso_prad_errm,gaia_iso_sma,gaia_iso_sma_errp,gaia_iso_sma_errm,gaia_iso_insol,gaia_iso_insol_errp,gaia_iso_insol_errm,ZAMSFlux,Flag,insolation,TCE_ID,radius,radius_err1,radius_err2,teff,corrected_prad,corrected_prad_err1,corrected_prad_err2,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability,Disp
10854555,K00755.01,1,CANDIDATE,1.0,2.525591777,33.1919,2.75,0.88,-0.35,0.024064,0.003751,-0.001522,10854555,755.01,CONFIRMED,2.3957403046833843,0.3853335906359876,0.1757405719126224,0.03548398655608793,0.000637038771033275,0.0007664099931094994,614.5453926525936,68.68002751150898,64.34057482285418,474.97901309400964,,614.5453926525936,010854555-01,0.911743255913,0.0361554691125,0.0338784661687,5659.9825924,2.4011751166387256,0.38620773196135966,-0.1761392449071044,1273,10854555,2.526,0.001,0.9975158020069573,0.00042862554124720273,0.9999989320998229,0.001,0.9989989331677231,PC
10872983,K00756.01,1,CANDIDATE,1.0,11.09432054,55.20486500000001,3.9,1.27,-0.42,0.036779,0.005115,-0.001065,10872983,756.01,CONFIRMED,4.442038922616374,0.6700922103769782,0.2680343392460273,0.09788637117478416,0.002390032338020482,0.002506440737372609,135.98735710639343,20.773064434892934,19.08090737310496,83.9562307169945,AO,135.98735710639343,010872983-01,1.10607119425,0.0646355264592,0.0585535870234,5850.00301762,4.452115827110377,0.6716123355545771,-0.26864238354387077,1274,10872983,11.094,3.6e-05,0.9975158020069573,1.8903403176044958e-06,0.9999999952923166,3.6e-05,0.9999639952924861,PC
10872983,K00756.02,2,CANDIDATE,1.0,4.13443512,33.546658,2.77,0.9,-0.3,0.026133,0.001968,-0.002055,10872983,756.02,CONFIRMED,3.1562522951883865,0.30085631934475626,0.29919743959681017,0.05069119659876111,0.0012376962983398445,0.0012979792670527047,507.08166137759366,77.46043640310553,71.15057177779312,313.06340428151884,AO,507.08166137759366,010872983-02,1.10607119425,0.0646355264592,0.0585535870234,5850.00301762,3.1634123524259894,0.3015388213329803,-0.29987617836434244,1275,10872983,4.134,6.3e-06,0.9975158020069573,0.0004027974981675631,0.9999989964750957,6.3e-06,0.9999926964814179,PC
10872983,K00756.03,3,CANDIDATE,0.992,2.56658897,12.325094,1.59,0.52,-0.17,0.014983000000000003,0.003935,-0.001417,10872983,756.03,CONFIRMED,1.8095943113614048,0.4868781348725846,0.19612765466916987,0.036888639492440055,0.0009006876208207515,0.0009445563163062003,957.5417408070308,146.27151183806401,134.35635258993938,591.1696279930719,AO,957.5417408070308,010872983-03,1.10607119425,0.0646355264592,0.0585535870234,5850.00301762,1.81369943276312,0.4879826331786102,-0.19657257639974532,1276,10872983,2.567,7.8e-05,0.9975158020069573,0.07777701046457033,0.9997899698105477,7.8e-05,0.9997119861929025,PC
9579641,K00115.03,3,CANDIDATE,0.871,3.43591631,7.4337807,0.55,0.08,-0.07,0.004612,0.000197,-0.0005650000000000001,9579641,115.03,CANDIDATE,0.5149988231225028,0.02437758650920121,0.06388485103338351,0.04496534745927005,0.000692532584480126,0.0008795963325731567,616.0551481540992,46.36842716956228,46.00406907778804,478.3012276459567,AO,616.0551481540992,009579641-03,1.0226277584899999,0.0208596465048,0.0199398265121,6023.53192143,0.5161671140910278,0.02443288782810609,-0.06402977581988176,103,9579641,3.436,0.04,0.9975158020069573,0.227759231952684,0.9992655035740574,0.04,0.959294883431095,PC
9579641,K00115.01,1,CANDIDATE,1.0,5.412203927,163.47614,2.94,0.43,-0.38,0.024775,6e-05,-0.001886,9579641,115.01,CONFIRMED,2.766499532276671,0.056827625148207786,0.21739882916873204,0.060874069674774114,0.0009375501739307868,0.0011907970377220331,336.13274676788467,25.29959594049293,25.10079443672361,260.97128789981514,AO,336.13274676788467,009579641-01,1.0226277584899999,0.0208596465048,0.0199398265121,6023.53192143,2.772775423158112,0.0569565403966366,-0.21789200522522434,101,9579641,5.412,7.1e-06,0.9975158020069573,2.154677358180985e-18,1.0,7.1e-06,0.9999929,PC
9579641,K00115.02,2,CANDIDATE,1.0,7.12594387,39.793564,1.79,0.26,-0.23,0.015119999999999996,0.000323,-0.002193,9579641,115.02,CONFIRMED,1.6883742856921595,0.04986954059731634,0.2470842495658516,0.07312701291598697,0.0011262635186758128,0.0014304847861137573,232.9269988039101,17.53164192819734,17.393880171719363,180.8430135088015,AO,232.9269988039101,009579641-02,1.0226277584899999,0.0208596465048,0.0199398265121,6023.53192143,1.692204415667029,0.04998267121289927,-0.2476447679287526,102,9579641,7.126,5.1e-05,0.9975158020069573,8.727354171993134e-05,0.9999997826363455,5.1e-05,0.999948782647431,PC
5456651,K00835.01,1,CANDIDATE,1.0,11.76307164,39.560696,2.35,0.17,-0.08,0.028519,0.001069,-0.000443,5456651,835.01,CONFIRMED,2.4055589610894836,0.1103065511233514,0.06699203124012112,0.09444069934275068,0.0013778977279966893,0.0016659460258918,35.75108439152558,4.011256868699555,3.877491445973649,29.780063389728127,,35.75108439152558,005456651-01,0.7724712986310001,0.0204030936084,0.0178550896582,4925.900873,2.411016046974565,0.11055678499119832,-0.06714400476228656,973,5456651,11.763,4e-05,0.9975158020069573,0.0001002386052342359,0.9999997503422957,4e-05,0.999959750352282,PC
5456651,K00835.02,2,CANDIDATE,0.878,56.22792710000001,16.481398000000002,2.37,0.17,-0.09,0.028683,0.005581,-0.002562,5456651,835.02,CONFIRMED,2.419392253617927,0.4750711613090147,0.2232214885607092,0.2679868075724029,0.0039099501240248465,0.004727321685711564,4.4399775865263615,0.4981636481591367,0.4815511317097561,3.698428068018804,,4.4399775865263615,005456651-02,0.7724712986310001,0.0204030936084,0.0178550896582,4925.900873,2.4248807207605965,0.47614887512552184,-0.22372787350249412,1007,5456651,56.228,0.00072,0.9975158020069573,0.06888834463511359,0.9998157487647032,0.00072,0.9990958814255926,PC
7938496,K00900.01,1,CANDIDATE,1.0,13.81020318,40.226162,4.56,1.33,-0.88,0.036595,0.0001,-0.003401,7938496,900.01,CANDIDATE,4.436605464762486,0.22463650477552968,0.4636370408617053,0.11049014888504197,0.002818774863611189,0.002678645338351984,91.88044574039756,11.700432394408873,10.660051921499086,45.70109978493814,,91.88044574039756,007938496-01,1.11027279263,0.0561339767794,0.05305743112940002,5626.29961134,4.446670043287083,0.22514609972593966,-0.46468881601767226,680,7938496,13.81,0.046,0.9975158020069573,8.773091569606277e-05,0.999999781497109,0.046,0.953999791548242,PC
