kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,TCE_ID,radius,radius_err1,radius_err2,teff,corrected_prad,corrected_prad_err1,corrected_prad_err2,rowid,kepid_y,fpp_koi_period,fpp_prob,reliability,fpp_prob_use,totalReliability,Disp
8561063,K00961.02,3,FALSE POSITIVE,0.0,0.453287416,10.459189,0.76,0.19,-0.09,0.046729,0.000277,-0.00587,008561063-03,0.174,0.005,-0.005,3410,0.88985488959854,0.026108944905683062,-0.11466911781690176,1737,8561063,0.453,0.095,1,0.095,0.905,FP
8561063,K00961.03,2,CANDIDATE,1.0,1.865114193,33.096786,0.66,0.17,-0.08,0.040715,0.00022,-0.004542,008561063-02,0.174,0.005,-0.005,3410,0.7753309899635036,0.02267009265795982,-0.08931619093541868,1738,8561063,1.865,0.024,1,0.024,0.976,PC
8561063,K00961.01,1,CANDIDATE,1.0,1.213770423,70.81955,0.78,0.2,-0.09,0.048039,0.000395,-0.0063,008561063-01,0.174,0.005,-0.005,3410,0.9148010666058395,0.027342389766239796,-0.12281639556678567,1736,8561063,1.214,6e-05,1,6e-05,0.99994,PC
7304449,K01702.01,1,CANDIDATE,0.9990000000000001,1.538180949,28.219137,1.0,0.23,-0.18,0.033564,0.001855,-0.006548999999999999,007304449-01,0.364,0.01,-0.01,3325,1.3370835683362696,0.08252353364277026,-0.26346472531572457,2585,7304449,1.538,0.00087,1,0.00087,0.99913,PC
8733898,K02842.01,1,CANDIDATE,1.0,1.565412613,33.523926,1.73,0.22,-0.19,0.048437,0.002143,-0.000505,008733898-01,0.217,0.006,-0.006,3241,1.1503246500283162,0.060015162384212256,-0.03399222853510937,3977,8733898,1.565,0.001,1,0.001,0.999,PC
8733898,K02842.02,3,CANDIDATE,0.992,5.14892346,17.186101999999998,1.72,0.21,-0.18,0.048149,0.009532,-0.003498,008733898-03,0.217,0.006,-0.006,3241,1.1434849716995972,0.2285716270998024,-0.08888679664924949,3978,8733898,5.149,0.02,1,0.02,0.98,PC
8733898,K02842.03,2,CANDIDATE,0.9470000000000001,3.036208739,18.237106,1.4,0.17,-0.15,0.039143,0.0016699999999999998,-0.001125,008733898-02,0.217,0.006,-0.006,3241,0.9296025306286181,0.04726124588789356,-0.0370740323035037,3979,8733898,3.036,0.0065,1,0.0065,0.9935,PC
9612825,K02685.01,1,FALSE POSITIVE,0.0,2.846517614,80.99499,1.88,0.45,-0.56,0.053662,0.000742,-0.002178,009612825-01,0.278,0.009000000000000001,-0.009000000000000001,3241,1.6326575706644857,0.057475026936790866,-0.08476335835684708,3924,9612825,2.847,1.0,1,1.0,0.0,FP
6444896,K03138.01,1,CANDIDATE,1.0,8.68910764,11.992775,0.49,0.0,0.0,0.038216,0.002406,-0.001287,006444896-01,0.231,0.006999999999999999,-0.006999999999999999,3073,0.9661413363956707,0.06750537968711573,-0.04376965284594446,3907,6444896,8.689,0.36,1,0.36,0.64,PC
6444896,K03138.02,2,FALSE POSITIVE,0.374,19.5352551,8.043725,0.53,0.0,0.0,0.041128,0.001451,-0.004514,006444896-02,0.231,0.006999999999999999,-0.006999999999999999,3073,1.0397598095897307,0.04835675930768778,-0.11838848855769639,3908,6444896,19.535,0.61,1,0.61,0.39,FP
9730163,K02704.01,1,CANDIDATE,1.0,4.871223664,41.95647,1.56,0.7,-0.23,0.07943099999999999,0.008687,-0.007179000000000001,009730163-01,0.305,0.009000000000000001,-0.009000000000000001,3157,2.6513882367700727,0.30033939955558137,-0.252081881625065,4015,9730163,4.871,2.2e-05,1,2.2e-05,0.999978,PC
9730163,K02704.02,2,CANDIDATE,0.9390000000000001,2.9841577110000004,19.508406,0.92,0.42,-0.14,0.046896,0.00111,-0.003045,009730163-02,0.305,0.009000000000000001,-0.009000000000000001,3157,1.5653775320916186,0.059215440651884464,-0.11164507923579732,4016,9730163,2.984,0.0044,1,0.0044,0.9956,PC
5513833,K06591.01,1,FALSE POSITIVE,0.0,0.7551011409999999,9.460423,0.19,0.02,-0.02,0.008231,0.000215,-0.0007469999999999999,005513833-01,0.385,0.012,-0.012,3241,0.34681413281839923,0.014103828107288914,-0.03327946615259803,6464,5513833,0.755,1.0,1,1.0,0.0,FP
