kepid,tm_designation,teff,teff_err1,teff_err2,logg,logg_err1,logg_err2,feh,feh_err1,feh_err2,mass,mass_err1,mass_err2,radius,radius_err1,radius_err2,dens,dens_err1,dens_err2,prov_sec,kepmag,limbdark_coeff1,limbdark_coeff2,limbdark_coeff3,limbdark_coeff4,dist,dist_err1,dist_err2,nconfp,nkoi,ntce,datalink_dvr,st_delivname,st_vet_date_str,ra,dec,st_quarters,teff_prov,logg_prov,feh_prov,jmag,jmag_err,hmag,hmag_err,kmag,kmag_err,dutycycle,dataspan,mesthres01p5,mesthres02p0,mesthres02p5,mesthres03p0,mesthres03p5,mesthres04p5,mesthres05p0,mesthres06p0,mesthres07p5,mesthres09p0,mesthres10p5,mesthres12p0,mesthres12p5,mesthres15p0,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p0,rrmscdpp12p5,rrmscdpp15p0,av,av_err1,av_err2,dutycycle_post,dataspan_post,timeout01p5,timeout02p0,timeout02p5,timeout03p0,timeout03p5,timeout04p5,timeout05p0,timeout06p0,timeout07p5,timeout09p0,timeout10p5,timeout12p0,timeout12p5,timeout15p0,timeoutsumry,cdppslplong,cdppslpshrt,qualityFlag,parallax,parallax_err,iso_avs,iso_avs_err1,iso_avs_err2,iso_feh,iso_feh_err1,iso_feh_err2,iso_logg,iso_logg_err1,iso_logg_err2,iso_mass,iso_mass_err1,iso_mass_err2,iso_rad,iso_rad_err1,iso_rad_err2,iso_rho,iso_rho_err1,iso_rho_err2,iso_teff,iso_teff_err1,iso_teff_err2,iso_kepid,teff_DR25,teff_DR25_err1,teff_DR25_err2,logg_DR25,logg_DR25_err1,logg_DR25_err2,feh_DR25,feh_DR25_err1,feh_DR25_err2,limbdark_coeff1_DR25,limbdark_coeff2_DR25,limbdark_coeff3_DR25,limbdark_coeff4_DR25
10024566,2MASS J19465254+4657534,3584.12983013,54.007925917,88.2794116628,4.84465344977,0.00511816691138,0.004628801207729999,0.0249873485233,0.10228118935200001,0.106972672291,0.369,0.081,-0.121,0.373043773033,0.00285496060452,0.0029580560852,12.22,9.45,-3.855,DSEP,16.801,0.4593,0.6011,-0.2429,0.0024,149.35,38.12,-46.59,0,0,0,,q1_q17_dr25_stellar,2017-03-23,296.71906,46.964954,101100000000,PHO54,PHO54,PHO54,13.352,0.021,12.770999999999999,0.021,12.554,0.023,0.6515,365.6880000000001,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,415.167,364.676,336.61,308.638,291.27099999999996,263.551,250.707,232.636,211.78,196.12900000000002,184.201,173.715,170.975,158.11,0.071,0.027000000000000003,-0.033,0.6515,365.6880000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.42127,-0.69977,Good,0.0061673000000000006,4.7600000000000005e-05,0.0,0.0,-0.0,0.0249873485233,0.10228118935200001,-0.106972672291,4.84465344977,0.00511816691138,-0.004628801207729999,0.355932889767,0.00260017562505,-0.00255687172666,0.373043773033,0.00285496060452,-0.0029580560852,6.828267519580001,0.132109533535,-0.122211111985,3584.12983013,54.007925917,-88.2794116628,10024566,3584.12983013,54.007925917,88.2794116628,4.84465344977,0.00511816691138,0.004628801207729999,0.0249873485233,0.10228118935200001,0.106972672291,0.4593,0.6011,-0.2429,0.0024
10057939,2MASS J18544245+4704318,3483.11099491,70.9481796611,45.624888191400004,4.9243058372099995,0.00431295863276,0.00348462076233,-0.023713871173400004,0.09231136835510001,0.12013638262599999,0.37,0.08900000000000001,-0.119,0.294870282664,0.00161911853151,0.00172519543508,11.37,8.755,-3.571,DSEP,16.62,0.4458,0.7661,-0.5011,0.1043,126.91,32.51,-35.76,0,0,0,,q1_q17_dr25_stellar,2017-03-23,283.6769700000001,47.075638,111100000000,PHO54,PHO54,PHO54,12.894,0.023,12.347999999999999,0.018000000000000002,12.118,0.022000000000000002,0.8787,365.6880000000001,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,386.07199999999995,339.343,314.408,289.08099999999996,272.849,244.21200000000002,233.019,216.12,196.976,179.85,168.82,160.408,157.35399999999996,143.89700000000005,0.055,0.022000000000000002,-0.027000000000000003,0.8787,365.6880000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.44203000000000003,-0.7053699999999999,Good,0.010102700000000001,4.2e-05,0.0,0.0,-0.0,-0.023713871173400004,0.09231136835510001,-0.12013638262599999,4.9243058372099995,0.00431295863276,-0.00348462076233,0.267171589801,0.0013344470265,-0.00105610698708,0.294870282664,0.00161911853151,-0.00172519543508,10.3858000622,0.15720710747400002,-0.13600618262800002,3483.11099491,70.9481796611,-45.624888191400004,10057939,3483.11099491,70.9481796611,45.624888191400004,4.9243058372099995,0.00431295863276,0.00348462076233,-0.023713871173400004,0.09231136835510001,0.12013638262599999,0.4458,0.7661,-0.5011,0.1043
10069097,2MASS J19172309+4703222,3572.62071029,79.1332550182,52.553504359399994,4.88287316135,0.004797121500810001,0.00418471064963,-0.07262903938910001,0.106359938619,0.102950028021,0.713,0.07200000000000001,-0.058,0.335631148556,0.0017266310159500002,0.00196102376259,2.6310000000000002,0.6671,-0.3018,DSEP,15.53,0.6648,-0.6877,1.4014,-0.5494,274.08,29.89,-32.6,0,0,0,,q1_q17_dr25_stellar,2017-03-23,289.3461,47.05619,11111111111111111,PHO54,PHO54,PHO54,12.139000000000001,0.021,11.651,0.017,11.463,0.016,0.8734,1458.931,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,208.683,181.954,168.169,154.005,144.608,130.072,124.13799999999999,114.90899999999999,104.65100000000001,96.95200000000001,91.34700000000001,86.78299999999999,85.412,79.458,0.155,0.018000000000000002,-0.02,0.8734,1458.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.39499,-0.7157899999999999,Good,0.0116083,3.68e-05,0.0,0.0,-0.0,-0.07262903938910001,0.106359938619,-0.102950028021,4.88287316135,0.004797121500810001,-0.00418471064963,0.314506475642,0.0010036460976,-0.0009517268228169999,0.335631148556,0.0017266310159500002,-0.00196102376259,8.29259686795,0.139927449193,-0.119309723802,3572.62071029,79.1332550182,-52.553504359399994,10069097,3572.62071029,79.1332550182,52.553504359399994,4.88287316135,0.004797121500810001,0.00418471064963,-0.07262903938910001,0.106359938619,0.102950028021,0.6648,-0.6877,1.4014,-0.5494
10118794,2MASS J18440731+4706522,3065.56840637,89.4275756591,87.6767892539,5.13159407825,0.00708015511329,0.00647874852647,0.11683998616699999,0.09815567812960001,0.121633782674,0.094,0.0,0.0,0.162115538694,0.002204496011,0.00221910237696,85.2,0.0,0.0,BTSL,19.84,0.4293,0.779,-0.4878,0.0943,0.0,0.0,0.0,0,0,0,,q1_q17_dr25_stellar,2017-03-23,281.03049,47.114529,111100000000,PHO54,PHO54,PHO54,14.523,0.026000000000000002,13.904000000000002,0.025,13.609000000000002,0.045,0.8789,365.6880000000001,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,153031.672,132605.531,122267.523,112220.219,105703.727,93521.414,89066.617,82193.688,74785.992,70123.516,66419.375,62872.988,62100.859000000004,56710.140999999996,0.0,0.0,0.0,0.8789,365.6880000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.39233,-0.7278100000000001,Good,0.010439,0.0001553,0.0,0.0,-0.0,0.11683998616699999,0.09815567812960001,-0.121633782674,5.13159407825,0.00708015511329,-0.00647874852647,0.130292924357,0.0017360545156400002,-0.0017236250610100001,0.162115538694,0.002204496011,-0.00221910237696,30.3807528087,0.918786719299,-0.841334584153,3065.56840637,89.4275756591,-87.6767892539,10118794,3065.56840637,89.4275756591,87.6767892539,5.13159407825,0.00708015511329,0.00647874852647,0.11683998616699999,0.09815567812960001,0.121633782674,0.4293,0.779,-0.4878,0.0943
10017286,2MASS J19363979+4656591,3362.26121921,70.7408282832,46.654363945600004,5.0104988094,0.00704498366422,0.006898756328369999,-0.0237319096621,0.0728763265462,0.10567588734899999,0.177,0.0,0.0,0.227446516825,0.00394154112173,0.0036488692359000004,31.51,0.0,0.0,BTSL,18.142,0.4293,0.779,-0.4878,0.0943,0.0,0.0,0.0,0,0,0,,q1_q17_dr25_stellar,2017-03-23,294.16582999999997,46.949902,111100000000,PHO54,PHO54,PHO54,14.876,0.032,14.311,0.045,14.007,0.054000000000000006,0.8791,365.6880000000001,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,1447.389,1257.733,1152.735,1049.473,979.818,865.23,820.06,747.2639999999999,670.9119999999998,615.602,576.5269999999998,542.762,533.239,487.204,0.0,0.0,0.0,0.8791,365.6880000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.45623,-0.77712,Good,0.005771,0.0001078,0.0,0.0,-0.0,-0.0237319096621,0.0728763265462,-0.10567588734899999,5.0104988094,0.00704498366422,-0.006898756328369999,0.19409633509500002,0.00390243510371,-0.0034485561746700004,0.227446516825,0.00394154112173,-0.0036488692359000004,16.366581971400002,0.541895736149,-0.516389582846,3362.26121921,70.7408282832,-46.654363945600004,10017286,3362.26121921,70.7408282832,46.654363945600004,5.0104988094,0.00704498366422,0.006898756328369999,-0.0237319096621,0.0728763265462,0.10567588734899999,0.4293,0.779,-0.4878,0.0943
10004407,2MASS J19144573+4654501,3508.34273379,58.9509773112,96.0025136312,4.87774868253,0.00455643348007,0.00387617223675,0.0503897724857,0.113719546839,0.114613525693,0.195,0.046,-0.038,0.33764268152800003,0.00171233607978,0.00200674443837,27.65,10.11,-7.4110000000000005,DSEP,15.599,0.4356,0.8188,-0.574,0.132,70.03,15.25,-12.71,0,0,0,,q1_q17_dr25_stellar,2017-03-23,288.6905799999999,46.913928999999996,11111111111111111,PHO2,PHO2,PHO2,12.892000000000001,0.023,12.319,0.022000000000000002,12.047,0.017,0.8735,1458.931,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,305.496,266.115,245.84400000000002,225.419,211.915,189.699,180.317,166.44,151.804,140.894,132.576,125.527,123.84200000000001,114.406,0.013999999999999999,0.011000000000000001,-0.009000000000000001,0.8735,1458.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.40524,-0.71772,Good,0.0088678,3.52e-05,0.0,0.0,-0.0,0.0503897724857,0.113719546839,-0.114613525693,4.87774868253,0.00455643348007,-0.00387617223675,0.314586578179,0.0011740923080399998,-0.00125245422243,0.33764268152800003,0.00171233607978,-0.00200674443837,8.14400998507,0.13246909208,-0.112368606271,3508.34273379,58.9509773112,-96.0025136312,10004407,3508.34273379,58.9509773112,96.0025136312,4.87774868253,0.00455643348007,0.00387617223675,0.0503897724857,0.113719546839,0.114613525693,0.4356,0.8188,-0.574,0.132
10274090,2MASS J19273118+4722410,3545.49818572,65.1019169443,65.08421370970001,4.78903044009,0.00514594932713,0.0053248418369700005,0.22224276521800002,0.11901012372400001,0.12079646095999999,0.21,0.041,-0.027000000000000003,0.4301402546,0.0031158546043400003,0.0029951674274000003,23.93,5.8020000000000005,-5.075,DSEP,15.39,0.4293,0.779,-0.4878,0.0943,65.99,11.62,-7.75,0,0,0,,q1_q17_dr25_stellar,2017-03-23,291.87997,47.37807100000001,11111111111111111,PHO2,PHO2,PHO2,12.599,0.021,12.023,0.018000000000000002,11.807,0.019,0.8735,1458.931,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,297.878,261.378,242.572,223.042,210.21900000000002,189.382,180.90099999999998,168.574,156.121,147.139,142.08700000000005,137.856,136.80700000000002,132.935,0.011000000000000001,0.008,-0.006,0.8735,1458.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.23198000000000002,-0.6948300000000001,Good,0.007286399999999999,4.3799999999999994e-05,0.0,0.0,-0.0,0.22224276521800002,0.11901012372400001,-0.12079646095999999,4.78903044009,0.00514594932713,-0.0053248418369700005,0.416271314149,0.00226470856357,-0.00218119549021,0.4301402546,0.0031158546043400003,-0.0029951674274000003,5.20927865303,0.0992012932809,-0.09943836830050001,3545.49818572,65.1019169443,-65.08421370970001,10274090,3545.49818572,65.1019169443,65.08421370970001,4.78903044009,0.00514594932713,0.0053248418369700005,0.22224276521800002,0.11901012372400001,0.12079646095999999,0.4293,0.779,-0.4878,0.0943
10318386,2MASS J18432784+4727325,3526.86896954,75.25695275390001,65.1179059201,4.80689924,0.00529574816886,0.005166909471279999,0.186657754774,0.125983321661,0.11557481029000001,0.191,0.039,-0.024,0.410148920202,0.0037871091572399995,0.00357535910736,27.63,7.155,-5.683,DSEP,16.366,0.4345,0.7447,-0.4394,0.0757,91.17,15.12,-11.63,0,0,0,,q1_q17_dr25_stellar,2017-03-23,280.86602999999997,47.459049,1000000000,PHO2,PHO2,PHO2,13.505999999999998,0.025,12.927,0.02,12.683,0.021,0.9187,65.891,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,1125.0810000000001,1043.174,1023.742,990.8810000000001,971.378,920.806,903.45,885.082,866.9680000000003,850.61,836.342,818.832,817.69,801.694,0.028999999999999998,0.011000000000000001,-0.008,0.9187,65.891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.11581,-0.31119,Good,0.0051784,5.3299999999999995e-05,0.0019245057325099999,0.0036407063036900003,-0.00153844716219,0.186657754774,0.125983321661,-0.11557481029000001,4.80689924,0.00529574816886,-0.005166909471279999,0.39453184213799997,0.0036176450606799997,-0.0034559054805500004,0.410148920202,0.0037871091572399995,-0.00357535910736,5.693836984990001,0.11783720803200001,-0.117813541974,3526.86896954,75.25695275390001,-65.1179059201,10318386,3526.86896954,75.25695275390001,65.1179059201,4.80689924,0.00529574816886,0.005166909471279999,0.186657754774,0.125983321661,0.11557481029000001,0.4345,0.7447,-0.4394,0.0757
10322878,2MASS J18544900+4729219,3274.55388116,97.9473326175,54.533250787600004,4.96724953118,0.00419820094571,0.0035376882956500003,0.142026271291,0.06202070466680001,0.0869724022834,0.135,0.058,-0.015,0.25575221173,0.00136736775243,0.0014209744883099998,50.05,11.5,-21.98,DSEP,15.765999999999998,0.4398,0.7104,-0.3911,0.0571,42.12,17.26,-4.31,0,0,0,,q1_q17_dr25_stellar,2017-03-23,283.70416,47.489422,11111111111111111,PHO2,PHO2,PHO2,12.562000000000001,0.023,11.998,0.021,11.710999999999999,0.017,0.8736,1458.931,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,375.685,329.13699999999994,305.402,281.436,265.695,238.99400000000003,228.02599999999998,212.09,195.78400000000002,183.00599999999997,173.188,164.791,162.845,153.435,0.0,0.01,-0.005,0.8736,1458.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.35378000000000004,-0.6876800000000001,Good,0.014592500000000001,6.21e-05,0.0,0.0,-0.0,0.142026271291,0.06202070466680001,-0.0869724022834,4.96724953118,0.00419820094571,-0.0035376882956500003,0.22175245911699998,0.00105630595971,-0.000912410457875,0.25575221173,0.00136736775243,-0.0014209744883099998,13.2174137901,0.19478570455699998,-0.174577393433,3274.55388116,97.9473326175,-54.533250787600004,10322878,3274.55388116,97.9473326175,54.533250787600004,4.96724953118,0.00419820094571,0.0035376882956500003,0.142026271291,0.06202070466680001,0.0869724022834,0.4398,0.7104,-0.3911,0.0571
10330511,2MASS J19113280+4726541,3417.4731706000002,72.9008391713,78.1563942887,4.96587241825,0.00419854080295,0.00379426100588,-0.017046584061,0.0762106785865,0.0998853481429,0.217,0.041,-0.027000000000000003,0.259938340664,0.00148523277242,0.00165786272268,22.84,5.907,-4.692,DSEP,16.217,0.4345,0.7447,-0.4394,0.0757,96.21,14.44,-13.0,0,0,0,,q1_q17_dr25_stellar,2017-03-23,287.88666,47.448372,111100000000,PHO2,PHO2,PHO2,13.365,0.021,12.8,0.02,12.487,0.02,0.8789,365.6880000000001,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,531.977,461.965,426.81199999999995,393.226,369.158,332.186,316.836,292.752,267.672,247.19,231.317,218.25599999999997,214.84799999999998,197.04,0.033,0.011000000000000001,-0.009000000000000001,0.8789,365.6880000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.43877,-0.6998800000000001,Good,0.0099319,5.2300000000000004e-05,0.0,0.0,-0.0,-0.017046584061,0.0762106785865,-0.0998853481429,4.96587241825,0.00419854080295,-0.00379426100588,0.22826418142700003,0.00131621381713,-0.00107831688963,0.259938340664,0.00148523277242,-0.00165786272268,12.956503743199999,0.207538711338,-0.178614071037,3417.4731706000002,72.9008391713,-78.1563942887,10330511,3417.4731706000002,72.9008391713,78.1563942887,4.96587241825,0.00419854080295,0.00379426100588,-0.017046584061,0.0762106785865,0.0998853481429,0.4345,0.7447,-0.4394,0.0757
