kepid,tm_designation,teff,teff_err1,teff_err2,logg,logg_err1,logg_err2,feh,feh_err1,feh_err2,mass,mass_err1,mass_err2,radius,radius_err1,radius_err2,dens,dens_err1,dens_err2,prov_sec,kepmag,limbdark_coeff1,limbdark_coeff2,limbdark_coeff3,limbdark_coeff4,dist,dist_err1,dist_err2,nconfp,nkoi,ntce,datalink_dvr,st_delivname,st_vet_date_str,ra,dec,st_quarters,teff_prov,logg_prov,feh_prov,jmag,jmag_err,hmag,hmag_err,kmag,kmag_err,dutycycle,dataspan,mesthres01p5,mesthres02p0,mesthres02p5,mesthres03p0,mesthres03p5,mesthres04p5,mesthres05p0,mesthres06p0,mesthres07p5,mesthres09p0,mesthres10p5,mesthres12p0,mesthres12p5,mesthres15p0,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p0,rrmscdpp12p5,rrmscdpp15p0,av,av_err1,av_err2,dutycycle_post,dataspan_post,timeout01p5,timeout02p0,timeout02p5,timeout03p0,timeout03p5,timeout04p5,timeout05p0,timeout06p0,timeout07p5,timeout09p0,timeout10p5,timeout12p0,timeout12p5,timeout15p0,timeoutsumry,cdppslplong,cdppslpshrt,KIC,D,e_D,KsMag,e_KsMag,SpType,Teff,R*,e_R*,M*,e_M*,teff_DR25,teff_DR25_err1,teff_DR25_err2,logg_DR25,logg_DR25_err1,logg_DR25_err2,mass_DR25,mass_DR25_err1,mass_DR25_err2
10057939,2MASS J18544245+4704318,3241,0,0,4.928719732202661,0,0,-0.1,0.25,-0.3,0.27,0.007,-0.007,0.295,0.009,-0.009,11.37,8.755,-3.571,DSEP,16.62,0.4458,0.7661,-0.5011,0.1043,126.91,32.51,-35.76,0,0,0,,q1_q17_dr25_stellar,2017-03-23,283.6769700000001,47.075638,111100000000,PHO54,PHO54,PHO54,12.894,0.023,12.347999999999999,0.018000000000000002,12.118,0.022000000000000002,0.8787,365.6880000000001,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,386.07199999999995,339.343,314.408,289.08099999999996,272.849,244.21200000000002,233.019,216.12,196.976,179.85,168.82,160.408,157.35399999999996,143.89700000000005,0.055,0.022000000000000002,-0.027000000000000003,0.8787,365.6880000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.44203000000000003,-0.7053699999999999,10057939,98.997,0.415,7.139,0.024,M4V,3241,0.295,0.009,0.27,0.007,3500,110.0,-122.0,4.896,0.12,-0.08,0.37,0.08900000000000001,-0.119
10066002,2MASS J19111998+4703333,3241,0,0,4.880959512574745,0,0,-0.58,0.3,-0.25,0.327,0.009,-0.009,0.343,0.011,-0.011,30.69,19.76,-13.81,DSEP,16.289,0.4607,1.1141,-1.1573,0.3929,62.09,30.59,-16.47,0,0,0,,q1_q17_dr25_stellar,2017-03-23,287.83325,47.059166,111100000000,PHO54,PHO54,PHO54,12.645999999999999,0.021,12.07,0.02,11.825999999999999,0.013000000000000001,0.8787,365.6880000000001,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,447.866,371.539,335.214,304.193,288.133,251.93599999999998,237.007,214.148,190.09400000000002,173.699,163.113,155.39600000000004,152.565,139.991,0.009000000000000001,0.021,-0.006999999999999999,0.8787,365.6880000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.43053,-0.75265,10066002,104.355,1.565,6.732,0.035,M4V,3241,0.343,0.011,0.327,0.009,3415,125.0,-83.0,5.0889999999999995,0.10400000000000001,-0.127,0.189,0.102,-0.047
10017286,2MASS J19363979+4656591,3241,0,0,4.9678690272209405,0,0,0.0,0.0,0.0,0.226,0.075,-0.075,0.258,0.053,-0.053,31.51,0.0,0.0,BTSL,18.142,0.4293,0.779,-0.4878,0.0943,0.0,0.0,0.0,0,0,0,,q1_q17_dr25_stellar,2017-03-23,294.16582999999997,46.949902,111100000000,PHO54,PHO54,PHO54,14.876,0.032,14.311,0.045,14.007,0.054000000000000006,0.8791,365.6880000000001,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,1447.389,1257.733,1152.735,1049.473,979.818,865.23,820.06,747.2639999999999,670.9119999999998,615.602,576.5269999999998,542.762,533.239,487.204,0.0,0.0,0.0,0.8791,365.6880000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.45623,-0.77712,10017286,,,,,M4V,3241,0.258,0.053,0.226,0.075,3245,0.0,0.0,5.087,0.0,0.0,0.177,0.0,0.0
10004407,2MASS J19144573+4654501,3410,0,0,4.886890176577229,0,0,-0.1,0.1,-0.1,0.32,0.008,-0.008,0.337,0.01,-0.01,27.65,10.11,-7.4110000000000005,DSEP,15.599,0.4356,0.8188,-0.574,0.132,70.03,15.25,-12.71,0,0,0,,q1_q17_dr25_stellar,2017-03-23,288.6905799999999,46.913928999999996,11111111111111111,PHO2,PHO2,PHO2,12.892000000000001,0.023,12.319,0.022000000000000002,12.047,0.017,0.8735,1458.931,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,305.496,266.115,245.84400000000002,225.419,211.915,189.699,180.317,166.44,151.804,140.894,132.576,125.527,123.84200000000001,114.406,0.013999999999999999,0.011000000000000001,-0.009000000000000001,0.8735,1458.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.40524,-0.71772,10004407,112.784,0.452,6.785,0.019,M3V,3410,0.337,0.01,0.32,0.008,3295,52.0,-46.0,5.063,0.06,-0.055,0.195,0.046,-0.038
10186824,2MASS J18452961+4716542,3410,0,0,4.877996274419877,0,0,0.02,0.1,-0.1,0.321,0.093,-0.093,0.341,0.064,-0.064,25.44,6.603,-5.245,DSEP,14.744000000000002,0.4345,0.7447,-0.4394,0.0757,44.79,7.42,-5.7,0,0,0,,q1_q17_dr25_stellar,2017-03-23,281.37338,47.281719,11111111111111111,PHO2,PHO2,PHO2,11.842,0.021,11.187000000000001,0.023,10.977,0.011000000000000001,0.8736,1458.931,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,259.08799999999997,232.051,218.648,203.734,194.077,177.054,169.77,158.748,146.995,138.597,132.384,127.21,126.12,119.566,0.0,0.005,-0.005,0.8736,1458.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.29685,-0.6099600000000001,10186824,,,,,M3V,3410,0.341,0.064,0.321,0.093,3274,42.0,-32.0,5.044,0.044000000000000004,-0.044000000000000004,0.202,0.042,-0.026
10251759,2MASS J18412820+4721343,3241,0,0,4.613879347502948,0,0,-0.1,0.1,-0.1,0.631,0.126,-0.126,0.648,0.137,-0.137,43.18,14.46,-15.25,DSEP,16.424,0.4356,0.8188,-0.574,0.132,75.7,19.47,-11.98,0,0,0,,q1_q17_dr25_stellar,2017-03-23,280.36749,47.359539,1000000000,PHO2,PHO2,PHO2,13.622,0.028999999999999998,13.025,0.031,12.842,0.026000000000000002,0.9336,66.13600000000001,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,637.703,559.743,521.932,478.08,447.975,404.249,384.529,350.07,314.289,286.353,266.615,252.196,248.418,229.507,0.018000000000000002,0.015,-0.006999999999999999,0.9336,66.13600000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.4502600000000001,-0.7074699999999999,10251759,405.98,130.481,4.793,0.847,M4V,3241,0.648,0.137,0.631,0.126,3245,42.0,-22.0,5.152,0.063,-0.077,0.15,0.044,-0.024
10158029,2MASS J19501259+4707019,3241,0,0,4.789614816902953,0,0,0.56,0.05,-0.3,0.442,0.023,-0.023,0.443,0.023,-0.023,3.676,1.25,-0.2445,DSEP,15.805,0.6974,-0.5698,1.0596,-0.3322,267.1,22.55,-45.1,0,0,0,,q1_q17_dr25_stellar,2017-03-23,297.55249,47.11721,11111101110111011,KIC0,KIC0,KIC0,12.972999999999999,0.022000000000000002,12.419,0.021,12.149000000000001,0.021,0.6975,1458.931,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,399.31,349.76300000000015,325.324,300.144,283.801,256.3,244.65200000000002,226.343,207.565,193.377,182.235,173.28900000000004,170.933,159.381,0.154,0.013000000000000001,-0.031,0.6975,1458.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.38035,-0.67172,10158029,168.795,9.6,6.01,0.126,M4V,3241,0.443,0.023,0.442,0.023,3856,120.0,-147.0,4.645,0.07200000000000001,-0.018000000000000002,0.615,0.035,-0.06
10274090,2MASS J19273118+4722410,3241,0,0,4.804533180000264,0,0,0.0,0.1,-0.1,0.425,0.01,-0.01,0.427,0.013,-0.013,23.93,5.8020000000000005,-5.075,DSEP,15.39,0.4293,0.779,-0.4878,0.0943,65.99,11.62,-7.75,0,0,0,,q1_q17_dr25_stellar,2017-03-23,291.87997,47.37807100000001,11111111111111111,PHO2,PHO2,PHO2,12.599,0.021,12.023,0.018000000000000002,11.807,0.019,0.8735,1458.931,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,297.878,261.378,242.572,223.042,210.21900000000002,189.382,180.90099999999998,168.574,156.121,147.139,142.08700000000005,137.856,136.80700000000002,132.935,0.011000000000000001,0.008,-0.006,0.8735,1458.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.23198000000000002,-0.6948300000000001,10274090,137.271,0.831,6.116,0.023,M4V,3241,0.427,0.013,0.425,0.01,3288,44.0,-34.0,5.033,0.044000000000000004,-0.044000000000000004,0.21,0.041,-0.027000000000000003
10318386,2MASS J18432784+4727325,3241,0,0,4.82098471996135,0,0,0.02,0.1,-0.1,0.403,0.01,-0.01,0.408,0.013,-0.013,27.63,7.155,-5.683,DSEP,16.366,0.4345,0.7447,-0.4394,0.0757,91.17,15.12,-11.63,0,0,0,,q1_q17_dr25_stellar,2017-03-23,280.86602999999997,47.459049,1000000000,PHO2,PHO2,PHO2,13.505999999999998,0.025,12.927,0.02,12.683,0.021,0.9187,65.891,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,1125.0810000000001,1043.174,1023.742,990.8810000000001,971.378,920.806,903.45,885.082,866.9680000000003,850.61,836.342,818.832,817.69,801.694,0.028999999999999998,0.011000000000000001,-0.008,0.9187,65.891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.11581,-0.31119,10318386,193.184,2.005,6.25,0.03,M4Ve,3241,0.408,0.013,0.403,0.01,3260,44.0,-29.0,5.06,0.044000000000000004,-0.044000000000000004,0.191,0.039,-0.024
10322878,2MASS J18544900+4729219,3073,0,0,4.979063820696525,0,0,0.04,0.25,-0.2,0.223,0.005,-0.005,0.253,0.008,-0.008,50.05,11.5,-21.98,DSEP,15.765999999999998,0.4398,0.7104,-0.3911,0.0571,42.12,17.26,-4.31,0,0,0,,q1_q17_dr25_stellar,2017-03-23,283.70416,47.489422,11111111111111111,PHO2,PHO2,PHO2,12.562000000000001,0.023,11.998,0.021,11.710999999999999,0.017,0.8736,1458.931,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,375.685,329.13699999999994,305.402,281.436,265.695,238.99400000000003,228.02599999999998,212.09,195.78400000000002,183.00599999999997,173.188,164.791,162.845,153.435,0.0,0.01,-0.005,0.8736,1458.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.35378000000000004,-0.6876800000000001,10322878,68.535,0.294,7.53,0.02,M5V,3073,0.253,0.008,0.223,0.005,3204,70.0,-44.0,5.182,0.051,-0.11900000000000001,0.135,0.058,-0.015
